threads,duration,bandwidth
1,10.4605,3.05913
2,5.23742,6.10988
3,3.51221,9.1111
4,2.67881,11.9457
5,2.84099,11.2778
6,2.97489,10.7845
7,2.80053,11.4792
8,2.82113,11.359
9,2.83612,11.3359
10,2.82167,11.3592
11,2.83864,11.3079
12,2.82408,11.3495
13,2.75859,11.6167
14,2.76178,11.6062
15,2.74918,11.6429
16,2.6688,12.0001
17,2.61996,12.2602
18,2.72096,11.7852
19,2.59477,12.3568
20,2.61818,12.2713
21,2.60587,12.3432
22,2.63585,12.1505
23,2.42961,13.1732
24,2.41722,13.2431
25,2.41651,13.2467
26,2.40123,13.329
27,2.42223,13.2144
28,2.43886,13.1275
29,2.46435,12.9939
30,2.55294,12.5494
31,2.51202,12.7431
32,2.44669,13.0926
33,2.48546,12.8749
34,2.36242,13.5506
35,2.39637,13.3578
36,2.47689,12.9324
37,2.40314,13.3171
38,2.38159,13.4498
39,2.39705,13.353
40,2.3133,13.8436
41,2.31224,13.8435
42,2.31439,13.8341
43,2.34917,13.6255
44,2.29499,13.9492
45,2.38832,13.4068
46,2.39847,13.3457
47,2.41455,13.2647
48,2.30455,13.8891
49,2.26617,14.1241
50,2.30279,13.9064
51,2.28659,13.9953
52,2.32957,13.7438
53,2.32357,13.7762
54,2.28991,13.9808
55,2.27392,14.0759
56,2.27729,14.0554
57,2.26674,14.1187
58,2.27514,14.0676
59,2.26336,14.1427
60,2.24525,14.2528
61,2.28541,14.0102
62,2.26425,14.1364
63,2.2538,14.2009
64,2.23718,14.305
65,2.22898,14.3583
66,2.2396,14.2936
67,2.25123,14.2163
68,2.27127,14.09
69,2.23062,14.3467
70,2.21198,14.4675
71,2.21298,14.4608
72,2.20766,14.4961
73,2.20984,14.4815
74,2.21622,14.4417
75,2.2197,14.4172
76,2.2036,14.5237
77,2.24873,14.2316
78,2.23928,14.2918
79,2.20698,14.5001
80,2.22343,14.3926
81,2.22082,14.4143
82,2.22852,14.3616
83,2.1995,14.5493
84,2.24481,14.2635
85,2.2402,14.2862
86,2.25692,14.1836
87,2.25363,14.2033
88,2.26344,14.1404
89,2.2584,14.1697
90,2.27837,14.0453
91,2.24587,14.25
92,2.25133,14.2201
93,2.26192,14.149
94,2.23769,14.3032
95,2.22788,14.3656
96,2.22914,14.3559
97,2.23611,14.3122
98,2.21452,14.4519
99,2.22209,14.4025
100,2.21682,14.4359
101,2.22188,14.4038
102,2.19915,14.5528
103,2.23734,14.3041
104,2.23762,14.3026
105,2.22353,14.3918
106,2.21338,14.4602
107,2.20487,14.5152
108,2.2099,14.4812
109,2.20219,14.5333
110,2.17674,14.7025
111,2.21198,14.469
112,2.19039,14.6101
113,2.20377,14.5216
114,2.18341,14.6576
115,2.20529,14.5129
116,2.19423,14.5864
117,2.23748,14.3033
118,2.18687,14.6342
119,2.17138,14.7392
120,2.194,14.5865
121,2.19416,14.5844
122,2.18973,14.6156
123,2.17503,14.7133
124,2.18392,14.6527
125,2.20262,14.5286
126,2.22268,14.3974
127,2.18103,14.6726
128,2.20971,14.4834
129,2.1919,14.6013
130,2.2068,14.5009
131,2.16757,14.7634
132,2.17143,14.7376
133,2.1624,14.7989
134,2.16184,14.8035
135,2.16899,14.7546
136,2.17016,14.7475
137,2.17339,14.7267
138,2.17304,14.7261
139,2.17311,14.7264
140,2.1546,14.8522
141,2.17113,14.7422
142,2.17262,14.7322
143,2.15261,14.866
144,2.15219,14.8703
145,2.16049,14.8119
146,2.15271,14.8657
147,2.16311,14.7952
148,2.16503,14.783
149,2.1636,14.791
150,2.14889,14.8918
151,2.16413,14.7879
152,2.14307,14.9321
153,2.14915,14.8909
154,2.15738,14.8343
155,2.1573,14.8356
156,2.1566,14.8386
157,2.1403,14.9512
158,2.14659,14.9076
159,2.15529,14.8475
160,2.14269,14.9348
161,2.14153,14.9428
162,2.14183,14.9414
163,2.13493,14.9896
164,2.13199,15.0097
165,2.13665,14.977
166,2.13887,14.9615
167,2.14845,14.8961
168,2.13722,14.9729
169,2.13311,15.0017
170,2.13828,14.9656
171,2.12731,15.0426
172,2.12826,15.0358
173,2.13683,14.9759
174,2.13352,14.9991
175,2.13393,14.996
176,2.13139,15.0138
177,2.13842,14.9648
178,2.15429,14.8544
179,2.12722,15.0432
180,2.13825,14.9658
181,2.12839,15.0351
182,2.15799,14.8289
183,2.12374,15.0682
184,2.14388,14.9265
185,2.12126,15.0859
186,2.13078,15.0188
187,2.11645,15.1197
188,2.13548,14.9851
189,2.12556,15.055
190,2.12331,15.0715
191,2.12729,15.0428
192,2.12383,15.0674
193,2.12641,15.0489
194,2.12337,15.0704
195,2.14929,14.889
196,2.12001,15.0945
197,2.12175,15.0821
198,2.11061,15.1616
199,2.11753,15.1121
200,2.11706,15.1154
201,2.12054,15.0906
202,2.11513,15.1291
203,2.11924,15.0998
204,2.12045,15.0912
205,2.12123,15.0858
206,2.11938,15.0989
207,2.11252,15.1478
208,2.12091,15.0885
209,2.11465,15.1326
210,2.13564,14.9841
211,2.11191,15.1522
212,2.1133,15.1422
213,2.11131,15.1565
214,2.11239,15.1489
215,2.10895,15.1735
216,2.11034,15.1635
217,2.11229,15.1495
218,2.11359,15.1403
219,2.11613,15.122
220,2.11891,15.1024
221,2.11171,15.1536
222,2.11255,15.1477
223,2.11605,15.1228
224,2.11138,15.156
225,2.11516,15.1292
226,2.11519,15.1287
227,2.11069,15.1609
228,2.1063,15.1926
229,2.1141,15.1366
230,2.11119,15.1574
231,2.10832,15.178
232,2.10625,15.1929
233,2.10852,15.1766
234,2.12531,15.0567
235,2.10733,15.1851
236,2.10986,15.167
237,2.1126,15.1473
238,2.11632,15.1206
239,2.10848,15.1768
240,2.1077,15.1825
241,2.11767,15.1111
242,2.11084,15.1599
243,2.11384,15.1384
244,2.11225,15.1498
245,2.11091,15.1594
246,2.11151,15.1551
247,2.10717,15.1863
248,2.10763,15.1832
249,2.10233,15.2213
250,2.11287,15.1453
251,2.1156,15.126
252,2.11372,15.1393
253,2.11054,15.162
