threads,local,global,diff
1,5.33971e+07,5.48823e+07,0.972938
2,1.07258e+08,8.04603e+07,1.33306
3,1.60919e+08,1.00181e+08,1.60629
4,2.14579e+08,9.91898e+07,2.16331
5,2.68239e+08,9.94136e+07,2.69821
6,3.2189e+08,9.92978e+07,3.24166
7,3.75538e+08,9.90377e+07,3.79187
8,9.8645e+07,4.28476e+08,4.34362
9,4.32182e+07,4.82541e+08,11.1652
10,6.63972e+07,5.36232e+08,8.07613
11,6.87035e+07,5.89861e+08,8.58559
12,5.95717e+07,6.43484e+08,10.8018
13,6.9385e+07,6.97098e+08,10.0468
14,6.81587e+07,7.50706e+08,11.0141
15,5.40709e+07,8.04332e+08,14.8755
16,5.35767e+07,8.57909e+08,16.0127
17,4.69277e+07,9.11467e+08,19.4228
18,5.17617e+07,9.65056e+08,18.6442
19,5.73097e+07,1.01862e+09,17.7739
20,7.67257e+07,1.07219e+09,13.9743
21,7.15466e+07,1.1258e+09,15.7352
22,5.86481e+07,1.17942e+09,20.11
23,5.72889e+07,1.23299e+09,21.5224
24,5.70958e+07,1.28654e+09,22.533
25,5.34107e+07,1.34011e+09,25.0906
26,5.65519e+07,1.39362e+09,24.6431
27,6.2841e+07,1.44723e+09,23.0299
28,6.38024e+07,1.50081e+09,23.5228
29,6.22978e+07,1.55442e+09,24.9514
30,5.9634e+07,1.60798e+09,26.9642
31,5.92495e+07,1.66159e+09,28.0439
32,5.89722e+07,1.71508e+09,29.0829
33,5.43488e+07,1.7686e+09,32.5416
34,5.67198e+07,1.82214e+09,32.1252
35,5.78276e+07,1.8757e+09,32.4362
36,5.91439e+07,1.9293e+09,32.6205
37,5.8477e+07,1.98289e+09,33.9089
38,5.84837e+07,2.03646e+09,34.8209
39,5.88293e+07,2.09005e+09,35.5274
40,5.8584e+07,2.1436e+09,36.5902
41,5.46907e+07,2.19703e+09,40.172
42,5.65771e+07,2.25069e+09,39.781
43,5.78358e+07,2.30423e+09,39.8409
44,5.83572e+07,2.35784e+09,40.4035
45,5.79941e+07,2.41133e+09,41.5788
46,5.81026e+07,2.46492e+09,42.4236
47,5.80681e+07,2.51841e+09,43.3699
48,5.8094e+07,2.57201e+09,44.2733
49,5.51887e+07,2.62532e+09,47.5699
50,5.68042e+07,2.67874e+09,47.1575
51,5.77437e+07,2.7324e+09,47.3195
52,5.83031e+07,2.78609e+09,47.7863
53,5.801e+07,2.83959e+09,48.95
54,5.79627e+07,2.89316e+09,49.9142
55,5.82044e+07,2.94665e+09,50.6259
56,5.80763e+07,3.0004e+09,51.663
57,5.56605e+07,3.05365e+09,54.8621
58,5.69898e+07,3.10727e+09,54.5233
59,5.78071e+07,3.16079e+09,54.6783
60,5.81606e+07,3.21441e+09,55.2679
61,5.78495e+07,3.26789e+09,56.4895
62,5.79827e+07,3.32144e+09,57.2833
63,5.80801e+07,3.37484e+09,58.1067
64,5.78959e+07,3.4285e+09,59.2184
65,5.54842e+07,3.48174e+09,62.752
66,5.67418e+07,3.53551e+09,62.3088
67,5.74988e+07,3.58905e+09,62.4196
68,5.7582e+07,3.64265e+09,63.2603
69,5.73777e+07,3.69618e+09,64.4184
70,5.74586e+07,3.74977e+09,65.2603
71,5.75686e+07,3.80319e+09,66.0636
72,5.74676e+07,3.85669e+09,67.1107
73,5.53554e+07,3.90996e+09,70.6336
74,5.65473e+07,3.96372e+09,70.0956
75,5.71851e+07,4.01709e+09,70.2472
76,5.72566e+07,4.07068e+09,71.0953
77,5.70948e+07,4.12396e+09,72.23
78,5.71911e+07,4.17721e+09,73.0395
79,5.72565e+07,4.23008e+09,73.8795
80,5.71602e+07,4.28303e+09,74.9304
81,5.54414e+07,4.33584e+09,78.2058
82,5.63074e+07,4.3885e+09,77.9384
83,5.70609e+07,4.44108e+09,77.8306
84,5.70939e+07,4.4935e+09,78.7036
85,5.69208e+07,4.54546e+09,79.8559
86,5.70289e+07,4.5974e+09,80.6153
87,5.70129e+07,4.64909e+09,81.5446
88,5.69452e+07,4.70056e+09,82.5454
89,5.54192e+07,4.75175e+09,85.742
90,5.6259e+07,4.80332e+09,85.3787
91,5.68917e+07,4.85445e+09,85.3278
92,5.6896e+07,4.90497e+09,86.2094
93,5.67869e+07,4.95566e+09,87.2676
94,5.68306e+07,5.0063e+09,88.0916
95,5.68276e+07,5.05559e+09,88.9635
96,5.67674e+07,5.10599e+09,89.9459
97,5.50775e+07,5.15947e+09,93.6764
98,5.61957e+07,5.21244e+09,92.7552
99,5.66448e+07,5.26521e+09,92.9513
100,5.67437e+07,5.31816e+09,93.7225
101,5.66442e+07,5.37173e+09,94.8328
102,5.66285e+07,5.42514e+09,95.8024
103,5.68049e+07,5.47914e+09,96.4554
104,5.6733e+07,5.53176e+09,97.5051
105,5.51442e+07,5.58536e+09,101.286
106,5.61852e+07,5.63864e+09,100.358
107,5.65786e+07,5.69165e+09,100.597
108,5.66893e+07,5.74484e+09,101.339
109,5.66169e+07,5.79781e+09,102.404
110,5.65764e+07,5.85082e+09,103.415
111,5.67794e+07,5.90503e+09,104
112,5.66485e+07,5.95857e+09,105.185
113,5.52535e+07,6.0113e+09,108.795
114,5.62279e+07,6.06468e+09,107.859
115,5.66023e+07,6.11816e+09,108.09
116,5.66689e+07,6.17238e+09,108.92
117,5.66221e+07,6.22549e+09,109.948
118,5.66073e+07,6.27892e+09,110.921
119,5.67683e+07,6.33211e+09,111.543
120,5.66597e+07,6.38537e+09,112.697
121,5.53196e+07,6.43828e+09,116.383
122,5.62663e+07,6.49138e+09,115.369
123,5.65725e+07,6.54525e+09,115.697
124,5.67182e+07,6.59896e+09,116.347
125,5.66228e+07,6.65297e+09,117.496
126,5.66051e+07,6.70695e+09,118.487
127,5.67824e+07,6.76035e+09,119.057
128,5.66969e+07,6.81344e+09,120.173
129,5.28289e+07,6.88017e+09,130.235
130,5.4515e+07,6.93071e+09,127.134
131,5.53981e+07,6.98396e+09,126.069
132,5.52359e+07,7.03859e+09,127.428
133,5.49911e+07,7.09346e+09,128.993
134,5.54161e+07,7.15036e+09,129.03
135,5.55192e+07,7.20332e+09,129.745
136,5.5423e+07,7.25866e+09,130.968
137,5.23784e+07,7.31251e+09,139.609
138,5.37973e+07,7.35095e+09,136.642
139,5.45481e+07,7.4185e+09,135.999
140,5.44414e+07,7.47318e+09,137.27
141,5.80934e+07,7.52661e+09,129.56
142,5.5019e+07,7.57871e+09,137.747
143,5.48188e+07,7.63289e+09,139.239
144,5.4756e+07,7.68636e+09,140.375
145,5.22144e+07,7.73858e+09,148.208
146,5.35636e+07,7.7915e+09,145.463
147,5.43249e+07,7.84433e+09,144.397
148,5.41596e+07,7.89894e+09,145.846
149,5.41304e+07,7.95151e+09,146.895
150,5.51361e+07,8.00551e+09,145.196
151,5.45199e+07,8.05989e+09,147.834
152,5.42427e+07,8.09605e+09,149.256
153,5.23942e+07,8.14847e+09,155.523
154,5.35191e+07,8.20336e+09,153.279
155,5.42506e+07,8.25655e+09,152.193
156,5.6172e+07,8.30881e+09,147.917
157,5.40983e+07,8.36455e+09,154.618
158,5.54831e+07,8.41687e+09,151.702
159,5.44034e+07,8.46934e+09,155.677
160,5.44205e+07,8.52361e+09,156.625
161,5.27213e+07,8.57649e+09,162.676
162,5.35746e+07,8.6304e+09,161.091
163,5.4239e+07,8.68244e+09,160.077
164,5.43013e+07,8.73437e+09,160.85
165,5.41513e+07,8.79025e+09,162.328
166,5.45127e+07,8.84227e+09,162.206
167,5.50129e+07,8.89664e+09,161.719
168,5.46978e+07,8.95142e+09,163.652
169,5.28706e+07,9.00348e+09,170.293
170,5.38899e+07,9.05667e+09,168.059
171,5.44417e+07,9.11009e+09,167.337
172,5.42642e+07,9.1633e+09,168.865
173,5.41868e+07,9.2172e+09,170.101
174,5.44809e+07,9.27024e+09,170.156
175,5.46245e+07,9.32196e+09,170.655
176,5.45002e+07,9.37481e+09,172.014
177,5.47855e+07,9.42984e+09,172.123
178,5.39556e+07,9.48398e+09,175.774
179,5.43363e+07,9.5362e+09,175.503
180,5.4396e+07,9.59051e+09,176.309
181,5.43406e+07,9.64391e+09,177.472
182,5.5171e+07,9.69749e+09,175.772
183,5.47888e+07,9.7504e+09,177.964
184,5.67072e+07,9.80453e+09,172.898
185,5.34554e+07,9.85641e+09,184.386
186,5.40771e+07,9.90805e+09,183.221
187,5.46133e+07,9.96383e+09,182.443
188,5.71638e+07,1.00164e+10,175.222
189,5.45787e+07,1.00717e+10,184.535
190,5.53628e+07,1.0123e+10,182.848
191,5.47679e+07,1.01772e+10,185.825
192,5.46835e+07,1.02289e+10,187.057
193,5.33788e+07,1.02817e+10,192.618
194,5.43222e+07,1.03338e+10,190.232
195,5.48826e+07,1.03891e+10,189.296
196,5.47303e+07,1.04408e+10,190.768
197,5.47181e+07,1.04927e+10,191.76
198,5.67917e+07,1.05483e+10,185.736
199,5.51309e+07,1.0603e+10,192.323
200,5.49788e+07,1.0653e+10,193.766
201,5.38472e+07,1.07101e+10,198.899
202,5.46884e+07,1.07628e+10,196.803
203,5.51197e+07,1.08157e+10,196.221
204,5.50199e+07,1.087e+10,197.565
205,5.4855e+07,1.09235e+10,199.134
206,5.5683e+07,1.09759e+10,197.115
207,5.52583e+07,1.10299e+10,199.606
208,5.52567e+07,1.10809e+10,200.535
209,5.4093e+07,1.11347e+10,205.845
210,5.48619e+07,1.11882e+10,203.935
211,5.53319e+07,1.12404e+10,203.144
212,5.53184e+07,1.12942e+10,204.168
213,5.52117e+07,1.13483e+10,205.543
214,5.63424e+07,1.14032e+10,202.39
215,5.54903e+07,1.14536e+10,206.408
216,5.52379e+07,1.15083e+10,208.341
217,5.43632e+07,1.15591e+10,212.628
218,5.50186e+07,1.16122e+10,211.06
219,5.53319e+07,1.16693e+10,210.896
220,5.55225e+07,1.17183e+10,211.055
221,5.53454e+07,1.17716e+10,212.693
222,5.6446e+07,1.18281e+10,209.547
223,5.5671e+07,1.188e+10,213.396
224,5.56607e+07,1.19341e+10,214.408
225,5.43351e+07,1.19882e+10,220.634
226,5.49116e+07,1.20395e+10,219.253
227,5.55303e+07,1.20947e+10,217.804
228,5.57605e+07,1.21483e+10,217.866
229,5.5565e+07,1.2201e+10,219.58
230,5.65546e+07,1.22561e+10,216.713
231,5.56225e+07,1.23047e+10,221.219
232,5.56681e+07,1.23594e+10,222.019
233,5.47358e+07,1.24119e+10,226.761
234,5.53458e+07,1.24651e+10,225.223
235,5.56546e+07,1.2518e+10,224.923
236,5.57877e+07,1.25746e+10,225.402
237,5.61357e+07,1.26216e+10,224.841
238,5.60732e+07,1.26784e+10,226.104
239,5.55827e+07,1.27347e+10,229.113
240,5.55077e+07,1.27859e+10,230.344
241,5.45641e+07,1.2838e+10,235.283
242,5.52234e+07,1.28946e+10,233.499
243,5.54965e+07,1.29454e+10,233.266
244,5.54611e+07,1.29995e+10,234.389
245,5.55049e+07,1.30483e+10,235.084
246,5.59761e+07,1.31065e+10,234.145
247,5.58008e+07,1.31583e+10,235.808
248,5.56398e+07,1.3213e+10,237.474
249,5.4803e+07,1.32655e+10,242.059
250,5.53908e+07,1.33204e+10,240.481
251,5.56767e+07,1.33705e+10,240.145
252,5.57193e+07,1.34255e+10,240.949
253,5.56596e+07,1.34785e+10,242.16
254,5.63036e+07,1.35326e+10,240.351
255,5.59461e+07,1.35831e+10,242.79
256,5.58328e+07,1.36363e+10,244.235
