threads,local,global,diff
1,2.64049e+07,2.59718e+07,0.983599
2,3.45619e+07,5.19739e+07,1.50379
3,3.85111e+07,7.79732e+07,2.02469
4,3.85667e+07,1.03952e+08,2.69537
5,3.72876e+07,1.2995e+08,3.48508
6,3.70687e+07,1.55929e+08,4.20647
7,3.60456e+07,1.8194e+08,5.04748
8,3.57184e+07,2.0788e+08,5.81998
9,2.58668e+07,2.3381e+08,9.03898
10,3.03833e+07,2.59767e+08,8.54966
11,3.10538e+07,2.85749e+08,9.20174
12,3.1199e+07,3.11742e+08,9.99207
13,3.06054e+07,3.37688e+08,11.0336
14,3.05085e+07,3.63665e+08,11.9201
15,3.0174e+07,3.89638e+08,12.9131
16,3.00587e+07,4.15584e+08,13.8257
17,2.73254e+07,4.41547e+08,16.1589
18,3.02951e+07,4.67485e+08,15.431
19,3.07481e+07,4.93454e+08,16.0483
20,3.08411e+07,5.19307e+08,16.8381
21,3.04525e+07,5.45254e+08,17.9051
22,3.0395e+07,5.71221e+08,18.7933
23,3.01705e+07,5.97217e+08,19.7948
24,3.00947e+07,6.23071e+08,20.7037
25,2.8059e+07,6.49061e+08,23.132
26,3.02868e+07,6.7503e+08,22.2879
27,3.06045e+07,7.00961e+08,22.9038
28,3.067e+07,7.26935e+08,23.7018
29,3.03843e+07,7.52867e+08,24.7782
30,3.03426e+07,7.78866e+08,25.6691
31,3.01727e+07,8.04777e+08,26.6724
32,3.01176e+07,8.30707e+08,27.5821
33,2.8141e+07,8.56615e+08,30.4401
34,3.00161e+07,8.82595e+08,29.404
35,3.04509e+07,9.08571e+08,29.8373
36,3.0497e+07,9.34451e+08,30.6408
37,3.01985e+07,9.60453e+08,31.8047
38,3.01076e+07,9.86377e+08,32.7617
39,3.00007e+07,1.01238e+09,33.7451
40,2.9919e+07,1.03833e+09,34.7048
41,2.83826e+07,1.06423e+09,37.4957
42,2.99421e+07,1.09017e+09,36.4091
43,3.0298e+07,1.11613e+09,36.8384
44,3.0331e+07,1.1421e+09,37.6546
45,3.00874e+07,1.16807e+09,38.8225
46,3.00137e+07,1.19394e+09,39.7798
47,2.99243e+07,1.21991e+09,40.7665
48,2.98563e+07,1.24587e+09,41.7288
49,2.8578e+07,1.27173e+09,44.5001
50,2.99094e+07,1.29769e+09,43.3875
51,3.02168e+07,1.32367e+09,43.8058
52,3.02507e+07,1.34953e+09,44.6114
53,3.00372e+07,1.3755e+09,45.7933
54,2.9974e+07,1.40145e+09,46.7555
55,2.99036e+07,1.42737e+09,47.7322
56,2.98408e+07,1.45329e+09,48.7015
57,2.8741e+07,1.47924e+09,51.468
58,2.99097e+07,1.50511e+09,50.3218
59,3.01667e+07,1.53108e+09,50.7541
60,3.01959e+07,1.55692e+09,51.5605
61,3.00143e+07,1.58294e+09,52.7397
62,2.9958e+07,1.60889e+09,53.7049
63,2.98931e+07,1.63486e+09,54.6904
64,2.98428e+07,1.66076e+09,55.6504
65,2.87739e+07,1.68661e+09,58.6161
66,2.9778e+07,1.71262e+09,57.5129
67,3.00145e+07,1.73853e+09,57.9232
68,3.00301e+07,1.76434e+09,58.7525
69,2.98561e+07,1.79046e+09,59.9698
70,2.98165e+07,1.81626e+09,60.9146
71,2.97551e+07,1.8423e+09,61.9156
72,2.97242e+07,1.86811e+09,62.8482
73,2.88026e+07,1.89408e+09,65.7606
74,2.97099e+07,1.91993e+09,64.6223
75,2.99027e+07,1.94565e+09,65.0659
76,2.9926e+07,1.97125e+09,65.871
77,2.97741e+07,1.99671e+09,67.0619
78,2.97456e+07,2.02167e+09,67.9655
79,2.96909e+07,2.04626e+09,68.9189
80,2.96607e+07,2.07013e+09,69.7938
81,2.88469e+07,2.0947e+09,72.6143
82,2.96699e+07,2.11955e+09,71.4377
83,2.98534e+07,2.14446e+09,71.833
84,2.98716e+07,2.17036e+09,72.6562
85,2.97299e+07,2.19599e+09,73.8646
86,2.97052e+07,2.22126e+09,74.7768
87,2.96555e+07,2.24665e+09,75.7583
88,2.96265e+07,2.27116e+09,76.6597
89,2.88993e+07,2.29697e+09,79.4818
90,2.96579e+07,2.32268e+09,78.3157
91,2.98165e+07,2.3485e+09,78.7652
92,2.98325e+07,2.3742e+09,79.5846
93,2.97116e+07,2.39917e+09,80.7486
94,2.96827e+07,2.42459e+09,81.6837
95,2.96359e+07,2.44979e+09,82.6627
96,2.96151e+07,2.47524e+09,83.5801
97,2.89597e+07,2.5008e+09,86.3543
98,2.96187e+07,2.52701e+09,85.3181
99,2.97181e+07,2.55315e+09,85.9123
100,2.97453e+07,2.5783e+09,86.6792
101,2.9651e+07,2.60514e+09,87.8601
102,2.96472e+07,2.63113e+09,88.7481
103,2.95952e+07,2.65681e+09,89.7717
104,2.9579e+07,2.68307e+09,90.7086
105,2.89822e+07,2.70854e+09,93.4551
106,2.95972e+07,2.73445e+09,92.3888
107,2.96869e+07,2.76043e+09,92.9847
108,2.9703e+07,2.78608e+09,93.7977
109,2.96329e+07,2.81218e+09,94.9007
110,2.96215e+07,2.83848e+09,95.8248
111,2.95748e+07,2.86404e+09,96.8403
112,2.95579e+07,2.88988e+09,97.7702
113,2.90208e+07,2.91517e+09,100.451
114,2.95829e+07,2.94153e+09,99.4334
115,2.96731e+07,2.96746e+09,100.005
116,2.96911e+07,2.99366e+09,100.827
117,2.96159e+07,3.01929e+09,101.949
118,2.96128e+07,3.04529e+09,102.837
119,2.95706e+07,3.07125e+09,103.862
120,2.95548e+07,3.09722e+09,104.796
121,2.90619e+07,3.12285e+09,107.455
122,2.95838e+07,3.1404e+09,106.153
123,2.96665e+07,3.16029e+09,106.527
124,2.96766e+07,3.17744e+09,107.069
125,2.96257e+07,3.19436e+09,107.824
126,2.95913e+07,3.24612e+09,109.699
127,2.95549e+07,3.2772e+09,110.885
128,2.95297e+07,3.30217e+09,111.825
129,2.84707e+07,3.32734e+09,116.869
130,2.86361e+07,3.35335e+09,117.102
131,2.86665e+07,3.37931e+09,117.884
132,2.86765e+07,3.40532e+09,118.749
133,2.86562e+07,3.43084e+09,119.724
134,2.86366e+07,3.45637e+09,120.698
135,2.86154e+07,3.4825e+09,121.7
136,2.86304e+07,3.50845e+09,122.543
137,2.77375e+07,3.53418e+09,127.415
138,2.79048e+07,3.55961e+09,127.563
139,2.79465e+07,3.58558e+09,128.302
140,2.79227e+07,3.61181e+09,129.351
141,2.7918e+07,3.63792e+09,130.308
142,2.79197e+07,3.66295e+09,131.196
143,2.79095e+07,3.68938e+09,132.191
144,2.79497e+07,3.71514e+09,132.922
145,2.71955e+07,3.74115e+09,137.565
146,2.7415e+07,3.7667e+09,137.396
147,2.73641e+07,3.79283e+09,138.606
148,2.7377e+07,3.81853e+09,139.479
149,2.73249e+07,3.84453e+09,140.697
150,2.73297e+07,3.87053e+09,141.624
151,2.73342e+07,3.89596e+09,142.531
152,2.73732e+07,3.92187e+09,143.274
153,2.68494e+07,3.94699e+09,147.005
154,2.70054e+07,3.97286e+09,147.114
155,2.69891e+07,3.99944e+09,148.187
156,2.69345e+07,4.02516e+09,149.442
157,2.68617e+07,4.05073e+09,150.799
158,2.68859e+07,4.07688e+09,151.636
159,2.70278e+07,4.10226e+09,151.779
160,2.70002e+07,4.12845e+09,152.905
161,2.643e+07,4.15406e+09,157.172
162,2.65099e+07,4.17967e+09,157.665
163,2.65546e+07,4.20548e+09,158.371
164,2.65024e+07,4.23172e+09,159.673
165,2.6483e+07,4.25773e+09,160.772
166,2.65632e+07,4.28293e+09,161.235
167,2.65841e+07,4.30875e+09,162.08
168,2.65469e+07,4.3352e+09,163.304
169,2.61492e+07,4.36024e+09,166.745
