threads,local,global,diff
1,5.45569e+07,5.3591e+07,0.982296
2,2.78224e+07,1.07147e+08,3.85111
3,3.90011e+07,1.60768e+08,4.12214
4,4.42383e+07,2.14398e+08,4.84644
5,5.25866e+07,2.67988e+08,5.09613
6,5.02294e+07,3.21599e+08,6.4026
7,6.38038e+07,3.7521e+08,5.88068
8,6.30006e+07,4.28803e+08,6.80633
9,4.50896e+07,4.82343e+08,10.6974
10,5.24587e+07,5.35864e+08,10.215
11,4.80896e+07,5.89433e+08,12.257
12,5.64547e+07,6.42973e+08,11.3892
13,5.52038e+07,6.9658e+08,12.6183
14,7.00469e+07,7.50138e+08,10.7091
15,5.64598e+07,8.03711e+08,14.2351
16,5.61825e+07,8.57254e+08,15.2584
17,5.17704e+07,9.10764e+08,17.5924
18,5.64787e+07,9.64193e+08,17.0718
19,4.88969e+07,1.01779e+09,20.815
20,5.26471e+07,1.07125e+09,20.3478
21,5.38228e+07,1.12488e+09,20.8997
22,5.90524e+07,1.17843e+09,19.9556
23,5.78564e+07,1.23194e+09,21.2932
24,6.21574e+07,1.28562e+09,20.6833
25,5.22198e+07,1.33901e+09,25.6418
26,4.96803e+07,1.39243e+09,28.0278
27,5.15247e+07,1.44595e+09,28.0633
28,5.38789e+07,1.49946e+09,27.8302
29,5.5555e+07,1.55287e+09,27.9518
30,5.68861e+07,1.6066e+09,28.2424
31,5.80044e+07,1.66021e+09,28.6222
32,5.68459e+07,1.71382e+09,30.1484
33,5.39179e+07,1.76715e+09,32.7748
34,5.08238e+07,1.82065e+09,35.8227
35,5.24201e+07,1.87415e+09,35.7525
36,5.46671e+07,1.92746e+09,35.2581
37,5.56795e+07,1.98115e+09,35.5813
38,5.74346e+07,2.03438e+09,35.4208
39,5.61947e+07,2.08808e+09,37.158
40,5.61102e+07,2.14165e+09,38.1687
41,5.34966e+07,2.19514e+09,41.0332
42,5.15459e+07,2.24833e+09,43.618
43,5.32281e+07,2.30157e+09,43.2398
44,5.49188e+07,2.35526e+09,42.8861
45,5.56568e+07,2.40887e+09,43.2808
46,5.67963e+07,2.46199e+09,43.3477
47,5.67508e+07,2.51546e+09,44.3247
48,5.67303e+07,2.56913e+09,45.2868
49,5.4494e+07,2.62239e+09,48.1225
50,5.29303e+07,2.67609e+09,50.5588
51,5.40405e+07,2.72886e+09,50.4965
52,5.49265e+07,2.78267e+09,50.6617
