threads,num_ops
1,7.84847e+07
2,4.82378e+07
3,3.97989e+07
4,2.89153e+07
5,2.28079e+07
6,1.85305e+07
7,1.56573e+07
8,1.33981e+07
9,9.11132e+06
10,8.99138e+06
11,8.8328e+06
12,7.97765e+06
13,7.31204e+06
14,6.70873e+06
15,6.22031e+06
16,5.76644e+06
17,5.02039e+06
18,5.0533e+06
19,5.0361e+06
20,4.73442e+06
21,4.48782e+06
22,4.24839e+06
23,4.04622e+06
24,3.84817e+06
25,3.4766e+06
26,3.51098e+06
27,3.51564e+06
28,3.36265e+06
29,3.23529e+06
30,3.10781e+06
31,2.99748e+06
32,2.88739e+06
33,2.65747e+06
34,2.67601e+06
35,2.68013e+06
36,2.58916e+06
37,2.51223e+06
38,2.4342e+06
39,2.36548e+06
40,2.29615e+06
41,2.14966e+06
42,2.16525e+06
43,2.16949e+06
44,2.10902e+06
45,2.05726e+06
46,2.00433e+06
47,1.95733e+06
48,1.90935e+06
49,1.80802e+06
50,1.81981e+06
51,1.82366e+06
52,1.78044e+06
53,1.74335e+06
54,1.70507e+06
55,1.67086e+06
56,1.63568e+06
57,1.56102e+06
58,1.57e+06
59,1.57332e+06
60,1.54093e+06
61,1.5131e+06
62,1.48414e+06
63,1.45799e+06
64,1.43129e+06
65,1.36525e+06
66,1.37515e+06
67,1.3772e+06
68,1.35225e+06
69,1.33079e+06
70,1.30831e+06
71,1.28801e+06
72,1.26699e+06
73,1.21621e+06
74,1.22433e+06
75,1.2261e+06
76,1.20621e+06
77,1.18899e+06
78,1.17095e+06
79,1.15458e+06
80,1.13761e+06
81,1.09738e+06
82,1.10453e+06
83,1.10594e+06
84,1.08978e+06
85,1.07553e+06
86,1.06083e+06
87,1.04738e+06
88,1.03332e+06
89,1.00045e+06
90,1.00632e+06
91,1.00768e+06
92,994193
93,982430
94,970096
95,958844
96,946933
97,918658
98,923395
99,924519
100,913084
101,903216
102,892637
103,883121
104,873068
105,849130
106,853128
107,854262
108,844436
109,835922
110,826912
111,818734
112,810026
113,789927
114,793228
115,794296
116,785793
117,778408
118,770502
119,763332
120,755787
121,738346
122,741249
123,742266
124,734811
125,728320
126,721419
127,715144
128,708510
