threads,duration,bandwidth
1,0.566139,28.2617
2,0.288598,55.4407
3,0.23676,67.6016
4,0.236394,67.6871
5,0.232559,68.8044
6,0.22677,70.5754
7,0.223112,71.7316
8,0.224643,71.2399
9,0.225221,71.0559
10,0.222476,71.9359
11,0.221548,72.2305
12,0.223742,71.5121
13,0.219196,73.0066
14,0.216926,73.7661
15,0.217044,73.7229
16,0.216066,74.0595
17,0.213945,74.7914
18,0.214244,74.6848
19,0.211978,75.4953
20,0.211409,75.6901
21,0.210162,76.136
22,0.211221,75.7635
23,0.212214,75.3992
24,0.209157,76.507
25,0.208064,76.9101
26,0.206064,77.6527
27,0.205056,78.0307
28,0.205409,77.8976
29,0.202229,79.1265
30,0.200724,79.7159
31,0.202196,79.1523
32,0.197288,81.1169
33,0.20384,78.5282
34,0.197174,81.1473
35,0.199581,80.1755
36,0.196335,81.5024
37,0.195515,81.8379
38,0.194407,82.3031
39,0.19462,82.2127
40,0.195021,82.0433
41,0.194189,82.3955
42,0.19508,82.0232
43,0.194783,82.143
44,0.194539,82.2465
45,0.194274,82.3592
46,0.194616,82.2216
47,0.193725,82.5933
48,0.19271,83.0295
49,0.19278,82.9966
50,0.193431,82.7204
51,0.192863,82.9625
52,0.192265,83.2201
53,0.192117,83.2864
54,0.193146,82.8411
55,0.191658,83.4843
56,0.192585,83.0824
57,0.191526,83.5395
58,0.191169,83.6959
59,0.190404,84.0317
60,0.191104,83.7257
61,0.190458,84.0093
62,0.190942,83.7979
63,0.190001,84.2128
64,0.190838,83.842
65,0.190075,84.1776
66,0.192779,83.0081
67,0.1908,83.8614
68,0.190944,83.7959
69,0.19043,84.0215
70,0.190972,83.7835
71,0.190399,84.0379
72,0.191266,83.658
73,0.1945,82.2699
74,0.192116,83.2847
75,0.192995,82.9065
76,0.191817,83.4148
77,0.192224,83.238
78,0.193305,82.773
79,0.190479,84.0041
80,0.189262,84.5416
81,0.191932,83.3643
82,0.190258,84.0968
83,0.191954,83.3614
84,0.18982,84.2928
85,0.192722,83.0277
86,0.191335,83.6302
87,0.191169,83.6962
88,0.192165,83.2644
89,0.192947,82.9306
90,0.191409,83.5941
91,0.19138,83.6083
92,0.190815,83.852
93,0.193649,82.6296
94,0.192202,83.2485
95,0.191857,83.3967
96,0.190357,84.053
97,0.190934,83.8056
98,0.191121,83.7202
99,0.191934,83.3728
100,0.190561,83.9656
101,0.190684,83.9121
102,0.19217,83.2626
103,0.189696,84.3493
104,0.189931,84.2424
105,0.190605,83.9468
106,0.189566,84.4045
107,0.191191,83.6946
108,0.191242,83.6647
109,0.190329,84.0661
110,0.190608,83.943
111,0.190884,83.8228
112,0.190847,83.8404
113,0.191027,83.762
114,0.191503,83.5517
115,0.19134,83.6261
116,0.19049,83.996
117,0.191625,83.4982
118,0.190646,83.9288
119,0.191693,83.469
120,0.191935,83.365
121,0.190073,84.1822
122,0.191892,83.3852
123,0.190404,84.0336
124,0.192507,83.1184
125,0.191517,83.5498
126,0.190471,84.0085
127,0.190221,84.114
128,0.191685,83.4725
129,0.190428,84.022
130,0.190417,84.0306
131,0.190308,84.0766
132,0.19021,84.119
133,0.190727,83.8906
134,0.190664,83.9191
135,0.190062,84.1838
