threads,duration,bandwidth
1,0.936533,17.0843
2,0.468882,34.1237
3,0.315037,50.7888
4,0.23842,67.1144
5,0.248591,64.6149
6,0.256555,62.4084
7,0.229809,69.8147
8,0.227787,70.2788
9,0.23218,69.044
10,0.224533,71.3171
11,0.220485,72.5974
12,0.220082,72.7266
13,0.220432,72.6141
14,0.216849,73.7854
15,0.220405,72.617
16,0.214981,74.4452
17,0.213525,74.9361
18,0.213549,74.9468
19,0.207021,77.2912
20,0.213603,75.1813
21,0.207857,77.0007
22,0.207356,77.1688
23,0.205273,77.9625
24,0.211158,75.954
25,0.205656,77.9146
26,0.199336,80.3178
27,0.200722,79.7279
28,0.201628,79.3992
29,0.198694,80.5354
30,0.1957,81.7893
31,0.197297,81.1053
32,0.203847,78.6539
33,0.196791,81.3125
34,0.1975,81.0967
35,0.196677,81.3781
36,0.195295,81.9532
37,0.19417,82.4505
38,0.197086,81.261
39,0.194177,82.4046
40,0.195651,81.8297
41,0.194345,82.3695
42,0.195135,82.0079
43,0.194428,82.3284
44,0.194676,82.2696
45,0.19195,83.3901
46,0.19436,82.4144
47,0.193548,82.6732
48,0.193085,82.9362
49,0.191084,83.7723
50,0.193245,82.8143
51,0.191793,83.4614
52,0.195129,82.0451
53,0.192566,83.1442
54,0.193988,82.4872
55,0.188986,84.6772
56,0.194806,82.2086
57,0.192006,83.3426
58,0.189336,84.5148
59,0.189833,84.3111
60,0.192043,83.3458
61,0.188555,84.8636
62,0.191335,83.6334
63,0.191355,83.6733
64,0.19417,82.434
65,0.189502,84.4515
66,0.190064,84.2047
67,0.187717,85.2385
68,0.191571,83.5318
69,0.189072,84.6677
70,0.192154,83.2973
71,0.190098,84.1885
72,0.189449,84.476
73,0.188318,84.9734
74,0.187113,85.5275
75,0.186377,85.8528
76,0.18834,84.9836
77,0.18618,85.9441
78,0.187623,85.2841
79,0.188458,84.9056
80,0.188837,84.7404
81,0.188163,85.0521
82,0.186476,85.8054
83,0.189697,84.3873
84,0.186815,85.6529
85,0.188699,84.8168
86,0.187008,85.5592
87,0.189216,84.5742
88,0.18859,84.8627
89,0.187727,85.2496
90,0.187908,85.158
91,0.187692,85.2586
92,0.188506,84.8854
93,0.18867,84.8056
94,0.186142,85.9634
95,0.187497,85.3357
96,0.186431,85.8307
97,0.187575,85.3179
98,0.187671,85.2573
99,0.187643,85.2783
100,0.186822,85.6449
101,0.187359,85.4029
102,0.186371,85.8552
103,0.186956,85.5839
104,0.187025,85.556
105,0.185838,86.0974
106,0.186221,85.9219
107,0.185443,86.2828
108,0.187095,85.5277
109,0.185979,86.0328
110,0.187114,85.5139
111,0.18672,85.6928
112,0.185703,86.1611
113,0.185942,86.0526
114,0.18586,86.0897
115,0.18612,85.9691
116,0.186013,86.0188
117,0.18679,85.6628
118,0.185733,86.1466
119,0.185639,86.1894
120,0.185849,86.0938
121,0.18666,85.7204
122,0.185381,86.3116
123,0.186423,85.8274
124,0.185961,86.0403
125,0.185886,86.0762
126,0.185634,86.1955
127,0.185977,86.0328
128,0.189548,84.4385
129,0.185566,86.2243
130,0.185748,86.1389
131,0.185386,86.3067
132,0.185859,86.0879
133,0.185186,86.4005
134,0.185221,86.3846
135,0.185438,86.2844
136,0.185604,86.2067
137,0.185467,86.2701
138,0.185444,86.2807
139,0.185672,86.1751
140,0.185379,86.3106
141,0.185666,86.1777
142,0.185224,86.3828
143,0.18489,86.5381
144,0.185296,86.349
145,0.185043,86.4672
146,0.185998,86.023
147,0.185036,86.4699
148,0.18552,86.2447
149,0.185505,86.2535
150,0.184592,86.6794
151,0.184819,86.5716
152,0.185342,86.328
153,0.185087,86.4465
