threads,duration,bandwidth
1,0.59421,26.9273
2,0.357968,44.7123
3,0.336346,47.5963
4,0.34335,46.6198
5,0.338583,47.3262
6,0.338751,47.2783
7,0.334225,47.8789
8,0.33314,48.0426
9,0.394525,41.4109
10,0.512364,34.9975
11,0.346728,46.82
12,0.368137,43.7982
13,0.314399,50.9517
14,0.30803,51.9987
15,0.334589,48.4299
16,0.312874,51.2362
17,0.305181,52.4441
18,0.302005,52.9819
19,0.297777,53.7362
20,0.304286,52.5979
21,0.301195,53.1266
22,0.300314,53.2834
23,0.304554,52.6229
24,0.296757,53.9199
25,0.326537,50.2066
26,0.297114,53.853
27,0.294072,54.4115
28,0.298565,53.5986
29,0.294655,54.3047
30,0.293954,54.4437
31,0.294996,54.2386
32,0.293592,54.4987
33,0.292597,54.686
34,0.290784,55.0268
35,0.290055,55.1632
36,0.292819,54.6478
37,0.289345,55.2998
38,0.288848,55.395
39,0.290149,55.1583
40,0.289771,55.2174
41,0.290724,55.0374
42,0.286388,55.8724
43,0.285869,55.9757
44,0.285073,56.1284
45,0.28574,55.9968
46,0.285572,56.0292
47,0.285362,56.072
48,0.283706,56.3969
49,0.284916,56.1582
50,0.28706,55.7503
51,0.284995,56.1448
52,0.284876,56.1684
53,0.284693,56.2224
54,0.283675,56.4058
55,0.283081,56.5246
56,0.283512,56.4364
57,0.284454,56.2554
58,0.281649,56.8113
59,0.281499,56.8471
60,0.284318,56.2761
61,0.284047,56.3469
62,0.284238,56.2945
63,0.283195,56.5231
64,0.294077,54.4487
65,0.281646,56.8123
66,0.284389,56.274
67,0.279705,57.2099
68,0.286607,55.846
69,0.279676,57.2117
70,0.290265,55.2118
71,0.282783,56.5992
72,0.27941,57.2658
73,0.28533,56.0763
74,0.279215,57.3143
75,0.277578,57.6488
76,0.294417,54.6397
77,0.287138,55.8112
78,0.280899,56.9753
79,0.281127,56.9404
80,0.278317,57.4943
81,0.284368,56.4112
82,0.279683,57.2255
83,0.281704,56.8711
84,0.278987,57.3515
85,0.279897,57.1707
86,0.276567,57.858
87,0.27866,57.4216
88,0.28252,56.6841
89,0.283258,56.5034
90,0.278142,57.5265
91,0.278092,57.5376
92,0.284747,56.2615
93,0.284435,56.2656
94,0.28462,56.3025
95,0.275915,57.9992
96,0.281002,56.9791
97,0.274959,58.2041
98,0.275322,58.1211
99,0.275244,58.1322
100,0.278962,57.3799
101,0.271481,58.9412
102,0.287428,55.6995
103,0.27795,57.584
104,0.284701,56.2334
105,0.289382,55.3116
106,0.278542,57.4521
107,0.283457,56.4738
108,0.275624,58.0669
109,0.281355,56.8869
