threads,num_ops
1,7.85068e+07
2,4.83678e+07
3,3.98091e+07
4,2.89186e+07
5,2.28102e+07
6,1.85318e+07
7,1.5658e+07
8,1.33992e+07
9,8.69399e+06
10,8.88781e+06
11,8.69793e+06
12,7.79921e+06
13,7.12696e+06
14,6.53725e+06
15,6.06963e+06
16,5.63697e+06
17,4.83881e+06
18,4.96263e+06
19,4.94102e+06
20,4.6255e+06
21,4.37355e+06
22,4.1403e+06
23,3.9471e+06
24,3.75906e+06
25,3.37262e+06
26,3.44532e+06
27,3.44394e+06
28,3.28322e+06
29,3.15373e+06
30,3.02984e+06
31,2.92442e+06
32,2.81989e+06
33,2.56349e+06
34,2.62149e+06
35,2.62598e+06
36,2.53883e+06
37,2.46274e+06
38,2.37427e+06
39,2.31236e+06
40,2.24169e+06
41,2.07999e+06
42,2.12036e+06
43,2.12458e+06
44,2.06632e+06
45,2.01556e+06
46,1.9555e+06
47,1.91325e+06
48,1.86459e+06
49,1.75215e+06
50,1.7816e+06
51,1.78537e+06
52,1.74405e+06
53,1.70742e+06
54,1.66404e+06
55,1.63298e+06
56,1.59761e+06
57,1.51461e+06
58,1.5368e+06
59,1.54008e+06
60,1.50899e+06
61,1.48168e+06
62,1.44871e+06
63,1.42528e+06
64,1.39809e+06
65,1.32874e+06
66,1.34559e+06
67,1.34841e+06
68,1.32409e+06
69,1.30195e+06
70,1.27704e+06
71,1.25832e+06
72,1.2376e+06
73,1.18405e+06
74,1.19763e+06
75,1.19987e+06
76,1.18048e+06
77,1.16302e+06
78,1.14306e+06
79,1.12794e+06
80,1.11137e+06
81,1.06915e+06
82,1.07975e+06
83,1.08193e+06
84,1.06598e+06
85,1.05134e+06
86,1.03546e+06
87,1.02291e+06
88,1.0093e+06
89,974683
90,983824
91,985568
92,972055
93,959982
94,946660
95,936237
96,924845
97,896339
98,902831
99,903868
100,891717
101,881534
102,871369
103,862312
104,852974
105,828835
106,834447
107,835229
108,824863
109,816239
110,807701
111,799798
112,791598
113,771076
114,776099
115,776675
116,767739
117,760296
118,752691
119,745875
120,738630
121,721041
122,725083
123,725994
124,718049
125,711514
126,704713
127,698947
128,692650
