threads,false_share,non_share,diff
1,2.72595e+08,2.7253e+08,1.00024
2,7.56419e+08,9.9714e+08,0.758588
3,1.25958e+09,2.17473e+09,0.579188
4,1.75868e+09,3.80732e+09,0.461921
5,2.25609e+09,5.89496e+09,0.382716
6,2.75378e+09,8.43751e+09,0.326374
7,3.25013e+09,1.1435e+10,0.284226
8,3.74468e+09,1.48873e+10,0.251535
9,4.51103e+09,1.87939e+10,0.240026
10,5.48749e+09,2.31546e+10,0.236993
11,6.47368e+09,2.79702e+10,0.23145
12,7.45933e+09,3.324e+10,0.224408
13,8.45055e+09,3.89643e+10,0.216879
14,9.44143e+09,4.51435e+10,0.209143
15,1.04297e+10,5.17774e+10,0.201433
16,1.14165e+10,5.88657e+10,0.193942
17,1.26758e+10,6.64083e+10,0.190877
18,1.41418e+10,7.44052e+10,0.190064
19,1.56261e+10,8.28565e+10,0.188592
20,1.71105e+10,9.1762e+10,0.186466
21,1.85948e+10,1.01122e+11,0.183885
22,2.00752e+10,1.10937e+11,0.180961
23,2.15531e+10,1.21206e+11,0.177822
24,2.30315e+10,1.3193e+11,0.174573
25,2.47827e+10,1.43107e+11,0.173176
26,2.67407e+10,1.54739e+11,0.172812
27,2.87135e+10,1.66825e+11,0.172118
28,3.06877e+10,1.79366e+11,0.17109
29,3.26593e+10,1.92362e+11,0.169781
30,3.46284e+10,2.05811e+11,0.168253
31,3.65974e+10,2.19716e+11,0.166567
32,3.85674e+10,2.34074e+11,0.164766
33,4.08105e+10,2.48886e+11,0.163972
34,4.32525e+10,2.64153e+11,0.16374
35,4.57145e+10,2.79874e+11,0.163339
36,4.81763e+10,2.96049e+11,0.162731
37,5.06389e+10,3.12678e+11,0.161952
38,5.31015e+10,3.29761e+11,0.16103
39,5.55626e+10,3.47299e+11,0.159985
40,5.80244e+10,3.65292e+11,0.158844
41,6.07591e+10,3.83738e+11,0.158335
42,6.36926e+10,4.02638e+11,0.158188
43,6.66456e+10,4.21992e+11,0.157931
44,6.95988e+10,4.418e+11,0.157535
45,7.25465e+10,4.62063e+11,0.157006
46,7.54964e+10,4.82778e+11,0.156379
47,7.845e+10,5.03948e+11,0.155671
48,8.14037e+10,5.25573e+11,0.154886
49,8.46301e+10,5.47651e+11,0.154533
50,8.80477e+10,5.70183e+11,0.15442
51,9.14898e+10,5.93169e+11,0.154239
52,9.49372e+10,6.16609e+11,0.153967
53,9.83784e+10,6.40503e+11,0.153595
54,1.01818e+11,6.64852e+11,0.153144
55,1.05261e+11,6.89656e+11,0.152628
56,1.08707e+11,7.14913e+11,0.152055
57,1.12425e+11,7.40624e+11,0.151798
58,1.16335e+11,7.66789e+11,0.151718
59,1.20261e+11,7.93406e+11,0.151576
60,1.24196e+11,8.20478e+11,0.15137
61,1.28131e+11,8.48004e+11,0.151097
62,1.32063e+11,8.75984e+11,0.15076
63,1.35998e+11,9.04419e+11,0.150371
64,1.39936e+11,9.33309e+11,0.149935
65,1.44147e+11,9.62651e+11,0.14974
66,1.48568e+11,9.92447e+11,0.149698
67,1.53007e+11,1.02269e+12,0.149613
68,1.57443e+11,1.05337e+12,0.149465
69,1.61877e+11,1.08451e+12,0.149263
70,1.66312e+11,1.1161e+12,0.149011
71,1.70746e+11,1.14815e+12,0.148714
72,1.75178e+11,1.18064e+12,0.148375
73,1.79881e+11,1.21358e+12,0.148223
74,1.84794e+11,1.24696e+12,0.148196
75,1.89718e+11,1.28076e+12,0.148129
76,1.9464e+11,1.31499e+12,0.148017
