threads,false_share,non_share,diff
1,2.7278e+08,2.72756e+08,1.00009
2,6.18433e+08,9.99773e+08,0.618573
3,9.03487e+08,2.18127e+09,0.414201
4,1.20884e+09,3.81743e+09,0.316665
5,1.52209e+09,5.90809e+09,0.257629
6,1.83574e+09,8.45327e+09,0.217163
7,2.14877e+09,1.1453e+10,0.187616
8,2.46093e+09,1.49074e+10,0.165082
9,3.04556e+09,1.88158e+10,0.161862
10,3.7024e+09,2.3178e+10,0.159738
11,4.29799e+09,2.79942e+10,0.153531
12,4.91356e+09,3.32648e+10,0.14771
13,5.53808e+09,3.89896e+10,0.14204
14,6.16281e+09,4.51687e+10,0.13644
15,6.78658e+09,5.18018e+10,0.131011
16,7.40962e+09,5.88893e+10,0.125823
17,8.30501e+09,6.64304e+10,0.125018
18,9.27177e+09,7.4425e+10,0.124579
19,1.018e+10,8.28733e+10,0.122838
20,1.11115e+10,9.17757e+10,0.121072
21,1.20547e+10,1.01132e+11,0.119198
22,1.29927e+10,1.10942e+11,0.117113
23,1.39278e+10,1.21206e+11,0.11491
24,1.48622e+10,1.31925e+11,0.112656
25,1.60689e+10,1.43097e+11,0.112294
26,1.73439e+10,1.54723e+11,0.112096
27,1.8557e+10,1.66801e+11,0.111252
28,1.97916e+10,1.79334e+11,0.110362
29,2.10348e+10,1.9232e+11,0.109374
30,2.22788e+10,2.05761e+11,0.108275
31,2.35233e+10,2.19655e+11,0.107092
32,2.47676e+10,2.34004e+11,0.105843
33,2.62845e+10,2.48805e+11,0.105643
34,2.78707e+10,2.6406e+11,0.105547
35,2.93973e+10,2.79768e+11,0.105077
36,3.0946e+10,2.95928e+11,0.104573
37,3.25049e+10,3.12543e+11,0.104001
38,3.40595e+10,3.29613e+11,0.103332
39,3.56106e+10,3.47134e+11,0.102584
40,3.71626e+10,3.65109e+11,0.101785
41,3.89872e+10,3.83538e+11,0.101651
42,4.08802e+10,4.0242e+11,0.101586
43,4.27058e+10,4.21753e+11,0.101258
44,4.455e+10,4.41542e+11,0.100896
45,4.64043e+10,4.61787e+11,0.100488
46,4.82598e+10,4.82485e+11,0.100024
47,5.01168e+10,5.03636e+11,0.0995101
48,5.19752e+10,5.25239e+11,0.0989554
49,5.41061e+10,5.47295e+11,0.0988609
50,5.63056e+10,5.69806e+11,0.0988154
51,5.84444e+10,5.92769e+11,0.0985954
52,6.06031e+10,6.16186e+11,0.098352
53,6.2769e+10,6.40056e+11,0.098068
54,6.49322e+10,6.6438e+11,0.0977335
55,6.70948e+10,6.89157e+11,0.0973578
56,6.92583e+10,7.14388e+11,0.0969477
57,7.16945e+10,7.40073e+11,0.0968749
58,7.41936e+10,7.66209e+11,0.0968321
59,7.66252e+10,7.92798e+11,0.0966516
60,7.90797e+10,8.19838e+11,0.0964577
61,8.15477e+10,8.47336e+11,0.0962401
62,8.40158e+10,8.75285e+11,0.0959867
63,8.64825e+10,9.03688e+11,0.0956996
64,8.89505e+10,9.3254e+11,0.0953852
65,9.16914e+10,9.61847e+11,0.0953285
66,9.4507e+10,9.916e+11,0.0953076
67,9.72651e+10,1.02181e+12,0.0951887
68,1.00032e+11,1.05248e+12,0.0950442
69,1.02799e+11,1.08359e+12,0.0948688
70,1.05575e+11,1.11517e+12,0.0946719
71,1.08355e+11,1.14719e+12,0.0944526
72,1.1113e+11,1.17967e+12,0.0942044
73,1.14175e+11,1.2126e+12,0.0941571
74,1.17293e+11,1.24599e+12,0.0941365
75,1.20351e+11,1.27982e+12,0.0940379
76,1.2342e+11,1.3141e+12,0.0939197
77,1.2649e+11,1.34884e+12,0.0937773
78,1.29568e+11,1.38403e+12,0.0936164
79,1.3265e+11,1.41968e+12,0.093437
80,1.35732e+11,1.45578e+12,0.0932365
81,1.39085e+11,1.49233e+12,0.0931999
82,1.42509e+11,1.52933e+12,0.0931841
83,1.45874e+11,1.56679e+12,0.0931042
84,1.49252e+11,1.60468e+12,0.0930099
85,1.52632e+11,1.64304e+12,0.0928964
86,1.56018e+11,1.68185e+12,0.0927658
87,1.59407e+11,1.72112e+12,0.0926183
