threads,duration,bandwidth
1,0.561341,28.5033
2,0.28099,56.942
3,0.187854,85.1725
4,0.142084,112.615
5,0.113242,141.294
6,0.0951588,168.149
7,0.0817963,195.612
8,0.0716259,223.391
9,0.06381,250.754
10,0.0576785,277.404
11,0.0522654,306.139
12,0.0481352,332.407
13,0.0446257,358.549
14,0.0412815,387.59
15,0.0388832,411.504
16,0.0362796,441.026
17,0.0343183,466.227
18,0.0324836,492.562
19,0.0309551,516.885
20,0.0294676,543.037
21,0.0281444,568.529
22,0.0269498,593.728
23,0.0258377,619.271
24,0.0249137,642.266
25,0.0239148,669.061
26,0.023008,695.441
27,0.0222239,719.954
28,0.0215429,742.734
29,0.0209028,765.483
30,0.0204084,784.003
31,0.0199172,803.352
32,0.0194087,824.386
33,0.0214309,746.629
34,0.020758,770.868
35,0.026611,601.271
36,0.0258476,619.062
37,0.026061,613.958
38,0.0255186,627
39,0.0256019,624.961
40,0.0250166,639.58
41,0.0250141,639.648
42,0.0245363,652.1
43,0.0240711,664.801
44,0.023247,688.407
45,0.023057,693.974
46,0.0224601,712.388
47,0.0223982,714.373
48,0.0220926,724.236
49,0.0224943,711.303
50,0.0216905,738.024
51,0.0221264,723.49
52,0.022074,724.936
53,0.0217392,736.069
54,0.0213247,750.347
55,0.0210372,760.561
56,0.02083,768.167
57,0.0212521,752.898
58,0.0210462,760.254
59,0.0213777,748.497
60,0.0211713,755.761
61,0.0214288,746.671
62,0.0213078,750.943
63,0.0215919,741.06
64,0.0214056,747.529
65,0.0215104,743.884
66,0.0216767,739.812
67,0.0235078,680.697
68,0.0232609,687.902
69,0.0233266,686.131
70,0.0225702,708.951
71,0.0227991,701.794
72,0.0222824,718.116
73,0.0222781,718.2
74,0.0224988,711.203
75,0.0224166,713.966
76,0.0224559,712.509
77,0.0224515,712.676
78,0.0223313,716.496
79,0.0218816,731.444
80,0.0217801,734.869
81,0.0216926,737.981
82,0.0217989,734.177
83,0.0220177,726.877
84,0.0216164,740.985
85,0.0212191,754.269
86,0.0213593,749.159
87,0.0215859,741.319
88,0.0214424,746.384
89,0.0209356,764.369
90,0.0213776,748.678
91,0.020766,770.614
92,0.0197819,809.567
93,0.0201069,796.295
94,0.0194832,821.527
95,0.0195516,818.847
96,0.0196833,813.551
97,0.0186494,858.034
98,0.0189844,843.004
99,0.0190596,839.618
100,0.0184951,865.526
101,0.0182362,877.817
102,0.0180874,884.83
103,0.0179763,890.39
104,0.0175198,913.326
105,0.0175135,914.15
106,0.0176606,906.1
107,0.0170453,938.827
108,0.0171376,933.701
109,0.0168771,948.195
110,0.0169583,943.97
111,0.0171053,935.74
112,0.0170992,935.992
113,0.0171164,935.019
114,0.0172653,927.222
115,0.0174024,919.56
116,0.0171827,931.346
117,0.017212,930.083
118,0.0172237,929.307
119,0.0174129,918.883
120,0.0174823,916.11
121,0.0172745,926.948
122,0.0174181,918.678
123,0.0173779,921.267
124,0.0173753,921.329
125,0.0170779,937.033
126,0.0172045,930.441
127,0.0170787,937.065
128,0.0169259,945.499
129,0.0171808,931.758
130,0.0169136,946.427
131,0.0167566,954.984
132,0.0167772,953.823
133,0.016575,965.512
134,0.0168334,950.725
135,0.0167397,955.963
136,0.0168961,947.292
137,0.0166413,961.796
138,0.0166686,960.436
139,0.0165884,964.589
140,0.0167263,956.871
141,0.0167656,954.806
142,0.0167924,952.943
143,0.0164118,975.01
144,0.0165441,967.254
145,0.0164636,972.206
146,0.017011,940.706
147,0.0167504,955.642
148,0.0167002,958.373
149,0.0164894,970.637
150,0.0166264,962.591
151,0.0167092,957.743
152,0.0166703,960.284
153,0.016932,946.182
154,0.0168858,947.896
155,0.0165519,967.308
156,0.0164482,973.121
157,0.0169465,944.444
158,0.0168579,950.054
159,0.0169433,945.193
160,0.0168622,949.653
161,0.0173841,920.519
162,0.016821,951.945
163,0.0171308,934.676
164,0.0171482,933.591
165,0.0170005,941.678
166,0.0175872,910.323
167,0.0172383,928.857
168,0.0171925,931.051
169,0.0170924,936.497
170,0.0170835,937.255
171,0.0171124,935.29
172,0.0173273,923.51
173,0.0171164,935.292
174,0.0172897,925.737
175,0.016877,948.102
176,0.0168948,947.133
177,0.0174543,917.326
178,0.0170255,940.345
179,0.0167819,953.91
180,0.0169509,944.142
181,0.0169841,942.53
182,0.016922,945.568
183,0.0170118,941.186
184,0.0168623,949.029
185,0.01718,931.757
186,0.0170215,940.169
187,0.0169107,946.235
188,0.0167992,952.526
189,0.0167053,957.791
190,0.0169076,946.643
191,0.0168498,950.172
192,0.0169791,942.497
193,0.0169715,943.029
194,0.0172057,930.413
195,0.0170773,937.157
196,0.01706,938.199
197,0.0172668,927.155
198,0.0170967,936.293
199,0.0168992,946.912
200,0.0168853,947.981
201,0.0171281,934.981
202,0.0171828,931.285
203,0.0170159,940.436
204,0.0171452,933.584
205,0.0171607,933.957
206,0.0173127,924.393
207,0.0168583,949.155
208,0.0173045,924.817
209,0.0172378,928.503
210,0.0169365,945.013
211,0.0173079,924.895
212,0.0172631,927.181
213,0.0171634,932.574
214,0.0170904,936.409
215,0.0169092,946.551
216,0.0171727,931.856
217,0.0171274,934.461
218,0.0170973,936.217
219,0.0171136,934.959
220,0.0173181,924.086
221,0.0170216,940.247
222,0.0172633,927.04
223,0.0172839,925.901
224,0.0170244,940.078
225,0.0170384,939.509
226,0.0172802,926.295
227,0.0172126,929.711
228,0.017015,940.777
229,0.0172943,925.237
230,0.0170328,939.501
231,0.017407,919.676
232,0.0171643,932.323
233,0.0171341,934.077
234,0.0171585,932.529
235,0.0173525,922.323
236,0.0172866,925.686
237,0.0170935,936.066
238,0.0175266,914.235
239,0.0171731,931.861
240,0.0175382,913.291
241,0.0174355,918.259
242,0.0173155,924.529
243,0.0170764,937.194
244,0.017278,926.315
245,0.017458,917.04
246,0.0173992,919.833
247,0.0172635,927.05
248,0.0171878,930.909
249,0.0173219,923.847
250,0.0172707,926.721
