threads,duration,bandwidth
1,0.929485,17.2138
2,0.464842,34.4203
3,0.310154,51.5873
4,0.232661,68.7696
5,0.186293,85.8864
6,0.155374,102.977
7,0.133427,119.916
8,0.117331,136.377
9,0.104062,153.755
10,0.0936574,170.835
11,0.0852842,187.608
12,0.0913799,180.175
13,0.0910753,180.795
14,0.0673165,237.683
15,0.0751919,218.423
16,0.0675146,242.78
17,0.0744351,224.056
18,0.0695852,237.024
19,0.0665075,251.291
20,0.0707855,230.462
21,0.0751877,215.702
22,0.0640317,260.205
23,0.079946,203.472
24,0.0844534,204.675
25,0.0734417,236.253
26,0.0688956,242.421
27,0.0668859,246.509
28,0.0772404,220.17
29,0.0658146,247.008
30,0.0730619,239.03
31,0.0690739,262.422
32,0.0713743,248.628
33,0.0643219,252.65
34,0.0689392,245.509
35,0.074376,221.16
36,0.0647732,250.589
37,0.0660183,249.187
38,0.0743033,225.168
39,0.0582213,279.388
40,0.0631944,259.808
41,0.0770019,211.903
42,0.0644421,253.091
43,0.0565903,293.493
44,0.0575021,281.84
45,0.0780689,215.379
46,0.0727547,231.525
47,0.0551962,294.727
48,0.0510493,323.396
49,0.0727811,221.777
50,0.0817642,198.079
51,0.0579522,282.081
52,0.0545747,300.351
53,0.0578471,294.736
54,0.0635255,262.262
55,0.0525396,314.004
56,0.0568058,285.654
57,0.0509111,319.798
58,0.0566049,300.335
59,0.0579231,293.917
60,0.0487657,347.68
61,0.0562987,289.363
62,0.0680572,236.537
63,0.0537202,313.155
64,0.043456,373.09
65,0.0425853,384.578
66,0.0483849,342.036
67,0.0574019,293.334
68,0.0493857,338.865
69,0.0449729,370.48
70,0.0430585,383.532
71,0.045764,362.918
72,0.047719,350.241
73,0.0474499,346.982
74,0.0558003,306.782
75,0.0445951,374.746
76,0.0481313,345.098
77,0.0445004,360.907
78,0.0424799,392.566
79,0.0483851,347.04
80,0.043863,380.515
81,0.0460012,370.442
82,0.0459317,365.781
83,0.0442301,376.816
84,0.042447,397.372
85,0.0509399,322.553
86,0.0389958,416.269
87,0.0378179,435.383
88,0.0441281,376.805
89,0.0415456,405.963
90,0.0418283,394.765
91,0.0397442,424.392
92,0.0419175,390.445
93,0.0358209,453.053
94,0.0398865,406.796
95,0.0394422,406.312
96,0.0351191,461.925
97,0.040837,400.895
98,0.0380698,423.002
99,0.0338012,485.583
100,0.036301,452.861
101,0.0407741,403.531
102,0.0362439,464.403
103,0.0356576,449.94
104,0.0378398,430.727
105,0.0364817,441.295
106,0.035464,461.017
107,0.0363512,445.141
108,0.0365707,442.656
109,0.0358401,455.014
110,0.0385909,427.054
111,0.0364322,458.759
112,0.0405076,409.324
113,0.0340381,471.638
114,0.0332128,483.736
115,0.0333935,487.629
116,0.037474,436.944
117,0.0358319,468.003
118,0.0332164,486.29
119,0.0350022,470.004
120,0.0341642,482.815
121,0.0381699,426.316
122,0.0357524,466.134
123,0.0354255,466.08
124,0.0345534,478.763
125,0.0354277,458.004
126,0.0370785,443.748
