threads,duration,bandwidth
1,0.524021,30.5331
2,0.262192,61.0241
3,0.177082,90.3539
4,0.131455,121.715
5,0.107863,148.364
6,0.0926316,173.284
7,0.0962961,170.889
8,0.096113,172.739
9,0.091906,188.424
10,0.0858634,194.862
11,0.0822497,197.676
12,0.0828819,199.381
13,0.0672654,244.751
14,0.0823209,199.345
15,0.111454,156.182
16,0.0677333,239.441
17,0.0752396,215.855
18,0.0837842,200.885
19,0.0710713,232.687
20,0.0671506,248.615
21,0.0821605,196.106
22,0.0656899,245.321
23,0.0683716,240.847
24,0.0658224,250.375
25,0.0667958,242.975
26,0.0667685,243.014
27,0.065765,253.126
28,0.10627,157.274
29,0.0769555,215.623
30,0.0666519,243.641
31,0.0678407,238.212
32,0.07139,224.857
33,0.0660545,251.047
34,0.0697708,235.635
35,0.0686112,238.43
36,0.0574166,287.209
37,0.0633259,253.944
38,0.0736555,235.908
39,0.0593959,271.203
40,0.0562244,285.366
41,0.0611723,264.147
42,0.0629761,266.821
43,0.056327,285.323
44,0.0805498,210.156
45,0.0863714,187.497
46,0.0578134,279.018
47,0.0558999,287.245
48,0.061279,266.527
49,0.0653588,245.882
50,0.0530907,302.107
51,0.0551921,291.141
52,0.0640351,260.067
53,0.0543072,302.774
54,0.0616584,278.594
55,0.052602,307.188
56,0.0568091,287.801
57,0.0491103,326.831
58,0.0608004,269.763
59,0.0556811,303.457
60,0.0575619,285.138
61,0.0464844,344.386
62,0.0598519,281.584
63,0.0449003,359.123
64,0.0583187,286.782
65,0.0469827,344.942
66,0.04247,377.593
67,0.0556195,308.237
68,0.0493348,336.351
69,0.0517301,316.554
70,0.0456554,362.855
71,0.0466879,349.909
72,0.0552442,298.453
73,0.0447432,361.5
74,0.0517163,329.745
75,0.0549178,303.556
76,0.0428901,381.719
77,0.0522511,318.818
78,0.0430479,375.495
79,0.0415576,395.845
80,0.0423936,380.626
81,0.0477223,350.601
82,0.0434833,378.589
83,0.0468742,362.588
84,0.0441173,367.411
85,0.0458566,365.445
86,0.0427126,383.93
87,0.0435193,380.029
88,0.0454827,358.962
89,0.041473,394.079
90,0.0399633,421.206
91,0.043042,388.445
92,0.0498362,323.566
93,0.0416047,397.22
94,0.0493111,331.802
95,0.0421738,385.616
96,0.0421935,383.564
97,0.038488,427.375
98,0.0434863,382.894
99,0.040859,401.191
100,0.0383732,434.343
101,0.0389671,419.928
102,0.0396529,413.941
103,0.0382844,426.819
104,0.0423338,388.463
105,0.0399275,404.215
106,0.0424786,388.365
107,0.0407562,394.974
108,0.0404197,405.559
109,0.0398607,406.356
110,0.0426686,377.249
111,0.0414525,391.98
112,0.0401498,401.047
113,0.0315563,509.03
114,0.0332557,483.732
115,0.033195,490.211
116,0.0347547,468.879
117,0.033955,473.233
118,0.0344277,473.38
119,0.0358133,455.875
120,0.0346343,468.047
121,0.03237,499.089
122,0.0354682,458.622
123,0.0318644,505.137
124,0.0350338,458.105
125,0.0333011,484.455
126,0.0304395,526.504
127,0.0309567,521.588
128,0.0324613,494.943
129,0.0353431,454.591
130,0.0382266,422.839
131,0.0341311,471.641
132,0.0326094,507.579
133,0.037942,425.772
134,0.0399163,405.149
135,0.0350223,458.761
136,0.0371031,443.044
137,0.0353589,456.141
138,0.036972,441.841
139,0.0370076,434.932
140,0.0345733,471.113
141,0.0293849,544.956
142,0.0346966,464.542
143,0.0317174,506.1
144,0.03265,494.168
145,0.0312128,514.002
146,0.0320177,500.508
147,0.0334088,479.571
148,0.0321079,499.987
149,0.0299359,535.995
150,0.0320962,499.741
151,0.0319704,501.954
152,0.0333748,481.17
153,0.0310677,515.492
154,0.0335258,478.738
155,0.032875,487.04
156,0.0334206,479.544
157,0.0304947,525.914
158,0.0322053,497.633
159,0.032738,489.092
160,0.0333613,480.482
161,0.0322222,497.803
162,0.0322289,496.741
163,0.0335305,477.251
164,0.0313633,511.13
165,0.0344138,465.262
166,0.0340482,472.22
167,0.0320195,499.781
168,0.0312474,513.437
169,0.0324887,492.618
170,0.0321843,497.713
171,0.0344146,467.847
172,0.0336079,476.645
173,0.0331533,483.446
174,0.0332257,482.728
175,0.0332403,481.961
176,0.0317505,503.941
177,0.0307408,521.323
178,0.0321121,498.766
179,0.0325235,492.028
180,0.0327996,488.724
181,0.0325087,493.059
182,0.0332333,481.788
183,0.031999,501.534
184,0.0326833,489.845
185,0.0322655,496.229
186,0.0326672,489.919
187,0.0322132,496.914
188,0.0326432,490.18
189,0.0318776,502.442
190,0.0322202,497.218
191,0.0317375,504.477
192,0.0328197,487.655
193,0.0309498,517.836
194,0.0312679,512.044
195,0.0322707,495.904
196,0.0315513,507.434
197,0.0317457,504.441
198,0.0317248,504.619
199,0.0315732,507.016
200,0.0313857,510.148
201,0.0308065,521.254
202,0.0311143,514.557
203,0.0312805,511.727
204,0.0309082,519.668
205,0.0320081,500.437
206,0.0316324,505.977
207,0.0310501,515.633
208,0.0308381,519.064
209,0.0311916,513.668
210,0.0309945,516.552
211,0.0309006,517.982
212,0.0311956,513.422
213,0.0311013,516.176
214,0.031638,505.903
215,0.0302853,528.374
216,0.0303962,526.923
217,0.0303933,526.498
218,0.0304421,525.722
219,0.0309827,516.696
220,0.0317998,504.678
221,0.0310502,516.463
222,0.0298297,536.665
223,0.0303543,527.62
224,0.0303236,527.747
225,0.0307939,519.902
226,0.0311835,514.428
227,0.0297068,538.872
228,0.0295862,540.938
229,0.0303449,528.45
230,0.0291464,549.022
231,0.0295062,542.336
232,0.0295556,541.754
233,0.0303334,528.284
234,0.0293732,544.764
235,0.0292069,547.984
236,0.0296218,540.445
237,0.0292455,547.271
238,0.0294886,542.757
239,0.0301576,530.917
240,0.0290811,550.493
241,0.029458,543.571
242,0.0290626,550.624
243,0.0297565,538.546
244,0.0298313,536.623
245,0.0295977,540.86
246,0.0289721,552.281
247,0.0302285,530.066
248,0.0291021,549.886
249,0.0293865,545.031
250,0.028902,553.777
251,0.0290933,550.207
252,0.0294871,542.813
253,0.0288966,553.724
254,0.0290671,550.512
255,0.0298805,536.19
256,0.0306869,521.741
