threads,num_ops
1,7.85e+07
2,4.83881e+07
3,3.9813e+07
4,2.89202e+07
5,2.28116e+07
6,1.85322e+07
7,1.5658e+07
8,1.33996e+07
9,8.09494e+06
10,7.23958e+06
11,7.31264e+06
12,6.62847e+06
13,6.09029e+06
14,5.6061e+06
15,5.20611e+06
16,4.84243e+06
17,4.41508e+06
18,4.14854e+06
19,4.19554e+06
20,3.95617e+06
21,3.7566e+06
22,3.5651e+06
23,3.39865e+06
24,3.24004e+06
25,3.03695e+06
26,2.90966e+06
27,2.93957e+06
28,2.8191e+06
29,2.71557e+06
30,2.61367e+06
31,2.52303e+06
32,2.43465e+06
33,2.25689e+06
34,2.26507e+06
35,2.23357e+06
36,2.162e+06
37,2.0998e+06
38,2.0376e+06
39,1.98133e+06
40,1.92582e+06
41,1.82032e+06
42,1.82777e+06
43,1.80685e+06
44,1.75944e+06
45,1.71768e+06
46,1.67539e+06
47,1.63733e+06
48,1.59888e+06
49,1.52772e+06
50,1.5311e+06
51,1.51893e+06
52,1.48491e+06
53,1.45517e+06
54,1.42492e+06
55,1.39732e+06
56,1.36883e+06
57,1.31744e+06
58,1.3218e+06
59,1.31134e+06
60,1.28592e+06
61,1.26365e+06
62,1.24048e+06
63,1.21905e+06
64,1.19802e+06
65,1.1451e+06
66,1.15377e+06
67,1.14552e+06
68,1.12613e+06
69,1.10847e+06
70,1.09103e+06
71,1.07407e+06
72,1.05758e+06
73,1.01807e+06
74,1.02498e+06
75,1.01874e+06
76,1.00305e+06
77,989206
78,974818
79,961613
80,948237
81,917581
82,924492
83,918094
84,905359
85,894080
86,882340
87,871453
88,860331
89,835650
90,840372
91,836249
92,825528
93,816146
94,806453
95,797186
96,787588
97,765686
98,769914
99,766656
100,757845
101,749673
102,741539
103,733718
104,725863
105,707407
106,711187
107,708222
108,700497
109,693628
110,686637
111,680025
112,673160
113,658200
114,661285
115,658263
116,651786
117,645931
118,639959
119,634121
120,627968
121,615128
122,617681
123,615530
124,609852
125,604783
126,599270
127,594062
128,588944
