threads,false_share,non_share,diff
1,2.72638e+08,2.72625e+08,1.00005
2,7.56483e+08,9.97278e+08,0.758547
3,1.25931e+09,2.1751e+09,0.578966
4,1.75834e+09,3.80793e+09,0.461758
5,2.25573e+09,5.8958e+09,0.382599
6,2.7532e+09,8.43858e+09,0.326264
7,3.24946e+09,1.14363e+10,0.284135
8,3.74393e+09,1.48889e+10,0.251457
9,4.51041e+09,1.87957e+10,0.23997
10,5.48703e+09,2.31565e+10,0.236954
11,6.47339e+09,2.7972e+10,0.231424
12,7.45907e+09,3.32422e+10,0.224386
13,8.45039e+09,3.89669e+10,0.216861
14,9.44123e+09,4.51464e+10,0.209125
15,1.04297e+10,5.17806e+10,0.201421
16,1.14166e+10,5.88693e+10,0.193931
17,1.26759e+10,6.64124e+10,0.190867
18,1.41419e+10,7.44098e+10,0.190055
19,1.56263e+10,8.28618e+10,0.188583
20,1.71109e+10,9.17681e+10,0.186458
21,1.85954e+10,1.01129e+11,0.183878
22,2.0076e+10,1.10944e+11,0.180956
23,2.1554e+10,1.21214e+11,0.177818
24,2.30324e+10,1.31938e+11,0.17457
25,2.47839e+10,1.43116e+11,0.173173
26,2.67422e+10,1.54748e+11,0.172811
27,2.87153e+10,1.66835e+11,0.172118
28,3.06897e+10,1.79376e+11,0.171092
29,3.26613e+10,1.92372e+11,0.169782
30,3.46307e+10,2.05822e+11,0.168255
31,3.65998e+10,2.19727e+11,0.166569
32,3.85696e+10,2.34085e+11,0.164767
33,4.08128e+10,2.48898e+11,0.163974
34,4.32549e+10,2.64165e+11,0.163742
35,4.57168e+10,2.79885e+11,0.163341
36,4.81787e+10,2.9606e+11,0.162733
37,5.06414e+10,3.12689e+11,0.161954
38,5.31043e+10,3.29773e+11,0.161033
39,5.55654e+10,3.47312e+11,0.159987
40,5.8027e+10,3.65304e+11,0.158846
41,6.07617e+10,3.83751e+11,0.158336
42,6.36955e+10,4.02651e+11,0.15819
43,6.66489e+10,4.22005e+11,0.157934
44,6.96025e+10,4.41813e+11,0.157538
45,7.25503e+10,4.62076e+11,0.15701
46,7.55004e+10,4.82793e+11,0.156383
47,7.84539e+10,5.03964e+11,0.155674
48,8.1408e+10,5.2559e+11,0.154889
49,8.46345e+10,5.4767e+11,0.154536
50,8.80527e+10,5.70203e+11,0.154423
51,9.14954e+10,5.9319e+11,0.154243
52,9.49431e+10,6.16632e+11,0.15397
53,9.83843e+10,6.40528e+11,0.153599
54,1.01824e+11,6.64878e+11,0.153147
55,1.05267e+11,6.89674e+11,0.152633
56,1.08712e+11,7.14928e+11,0.152061
57,1.12431e+11,7.40639e+11,0.151803
58,1.16342e+11,7.66805e+11,0.151723
59,1.20268e+11,7.93425e+11,0.151581
60,1.24202e+11,8.20498e+11,0.151374
61,1.28137e+11,8.48025e+11,0.151101
62,1.3207e+11,8.76007e+11,0.150764
63,1.36005e+11,9.04442e+11,0.150374
64,1.39942e+11,9.33332e+11,0.149938
65,1.44154e+11,9.62675e+11,0.149743
66,1.48574e+11,9.92472e+11,0.149701
67,1.53013e+11,1.02272e+12,0.149614
68,1.57449e+11,1.05343e+12,0.149464
69,1.61884e+11,1.08459e+12,0.149258
70,1.66318e+11,1.1162e+12,0.149004
71,1.70752e+11,1.14826e+12,0.148705
72,1.75184e+11,1.18078e+12,0.148363
73,1.79888e+11,1.21374e+12,0.148209
74,1.84801e+11,1.24714e+12,0.14818
75,1.89725e+11,1.28098e+12,0.148109
76,1.94647e+11,1.31524e+12,0.147994
77,1.99576e+11,1.34994e+12,0.147841
78,2.04504e+11,1.38507e+12,0.147648
79,2.09429e+11,1.42065e+12,0.147418
80,2.14353e+11,1.45666e+12,0.147154
81,2.19549e+11,1.4931e+12,0.147042
82,2.24951e+11,1.52998e+12,0.147029
83,2.30372e+11,1.56729e+12,0.146987
84,2.35793e+11,1.60504e+12,0.146907
85,2.41214e+11,1.64322e+12,0.146793
86,2.46631e+11,1.68177e+12,0.146649
87,2.52045e+11,1.72078e+12,0.146471
88,2.57459e+11,1.76028e+12,0.14626
89,2.63146e+11,1.8002e+12,0.146176
90,2.6904e+11,1.84053e+12,0.146175
91,2.74948e+11,1.88128e+12,0.146149
92,2.80857e+11,1.92244e+12,0.146094
93,2.86765e+11,1.96399e+12,0.146011
94,2.9267e+11,2.00594e+12,0.145901
95,2.98574e+11,2.0483e+12,0.145767
96,3.04479e+11,2.09104e+12,0.145611
97,3.10658e+11,2.13421e+12,0.145561
98,3.17035e+11,2.17784e+12,0.145573
99,3.23431e+11,2.22192e+12,0.145564
100,3.29828e+11,2.26645e+12,0.145526
101,3.36225e+11,2.31143e+12,0.145462
102,3.42623e+11,2.35686e+12,0.145373
103,3.49019e+11,2.40274e+12,0.145259
104,3.55416e+11,2.44908e+12,0.145122
105,3.62085e+11,2.49586e+12,0.145074
106,3.68953e+11,2.5431e+12,0.14508
107,3.75841e+11,2.59079e+12,0.145068
108,3.82728e+11,2.63894e+12,0.145031
109,3.8961e+11,2.68753e+12,0.14497
110,3.96495e+11,2.73657e+12,0.144888
111,4.03382e+11,2.78606e+12,0.144786
112,4.10271e+11,2.83606e+12,0.144662
113,4.17431e+11,2.88643e+12,0.144618
114,4.24783e+11,2.93719e+12,0.144622
115,4.32159e+11,2.98825e+12,0.14462
116,4.39541e+11,3.0399e+12,0.144591
117,4.46916e+11,3.09214e+12,0.144533
118,4.5429e+11,3.14473e+12,0.144461
119,4.61667e+11,3.19781e+12,0.14437
120,4.69046e+11,3.2514e+12,0.14426
121,4.76698e+11,3.30545e+12,0.144216
122,4.84542e+11,3.35986e+12,0.144215
123,4.92401e+11,3.41466e+12,0.144202
124,5.00269e+11,3.46981e+12,0.144178
125,5.08137e+11,3.52525e+12,0.144142
126,5.16003e+11,3.58098e+12,0.144095
127,5.2387e+11,3.63695e+12,0.144041
128,5.31741e+11,3.69316e+12,0.14398
