threads,duration,bandwidth
1,0.564164,28.3606
2,0.282937,56.5518
3,0.188243,84.9967
4,0.142332,112.421
5,0.113549,140.917
6,0.0948436,168.707
7,0.0815539,196.195
8,0.0717801,222.917
9,0.063656,251.365
10,0.0576406,277.597
11,0.0524178,305.25
12,0.0477006,335.431
13,0.0446088,358.691
14,0.0413656,386.805
15,0.0386129,414.382
16,0.0363879,439.738
17,0.0343001,466.488
18,0.0323715,494.268
19,0.0305752,523.301
20,0.0294859,542.654
21,0.0279444,572.57
22,0.0269066,594.679
23,0.0258251,619.569
24,0.0250577,638.601
25,0.0239631,667.738
26,0.0229333,697.683
27,0.0221836,721.269
28,0.0215409,742.792
29,0.0209389,764.143
30,0.020315,787.623
31,0.0197321,810.879
32,0.019215,832.702
33,0.0188007,851.063
34,0.0214282,749.828
35,0.0230729,696.522
36,0.0241942,662.461
37,0.0226319,713.352
38,0.0242348,662.374
39,0.0214359,749.786
40,0.0241122,663.676
41,0.0213911,751.741
42,0.0236095,677.786
43,0.0231687,690.679
44,0.0221542,722.593
45,0.0220091,727.169
46,0.0222506,719.363
47,0.0212776,753.802
48,0.0214995,744.226
49,0.021537,743.898
50,0.0215685,741.956
51,0.021746,735.91
52,0.0214614,745.744
53,0.0209754,763.275
54,0.0211669,755.941
55,0.0207238,772.184
56,0.0207125,772.587
57,0.0207089,773.041
58,0.0210465,760.554
59,0.0205859,777.41
60,0.0209171,765.15
61,0.020584,777.463
62,0.0207002,773.141
63,0.0204609,782.017
64,0.020874,766.805
65,0.0206298,775.618
66,0.0217422,737.733
67,0.020808,770.388
68,0.0218124,735.722
69,0.0210118,762.666
70,0.0214568,748.28
71,0.0217339,736.255
72,0.0217411,736.169
73,0.0210867,760.17
74,0.0214527,746.245
75,0.0219504,729.048
76,0.0215015,744.919
77,0.0215759,742.409
78,0.021089,759.118
79,0.0214678,745.611
80,0.0214279,746.903
81,0.0209042,766.159
82,0.0212119,754.752
83,0.0208342,768.389
84,0.0206224,776.087
85,0.0203818,785.722
86,0.0198759,805.333
87,0.0194048,824.724
88,0.0189765,844.345
89,0.018901,847.625
90,0.0190318,840.761
91,0.0186887,856.35
92,0.0183589,872.114
93,0.01843,868.609
94,0.0179817,890.128
95,0.0179638,890.832
96,0.0179431,892.216
97,0.0176296,908.435
98,0.0180793,887.974
99,0.0173976,919.895
100,0.0169674,943.205
101,0.0171633,932.294
102,0.0169959,942.189
103,0.0168608,948.959
104,0.0168566,950.241
105,0.0170011,941.574
106,0.0168483,949.739
107,0.016828,951.765
108,0.0168022,952.327
109,0.016389,976.346
110,0.0167342,956.588
111,0.0168102,952.266
112,0.0168734,948.97
113,0.0167364,956.044
114,0.0172035,930.478
115,0.0170261,940.132
116,0.0171387,933.716
117,0.0170536,938.485
118,0.0172344,928.627
119,0.0171134,935.207
120,0.0169804,942.522
121,0.0171252,934.372
122,0.0170801,937.206
123,0.017241,928.567
124,0.0175268,912.959
125,0.0172671,926.792
126,0.0176371,907.349
127,0.0173446,922.747
128,0.0175225,913.541
129,0.0177147,903.389
130,0.0177871,899.645
131,0.0175836,910.005
132,0.0174782,915.591
133,0.0179681,890.637
134,0.0178863,894.693
135,0.0177824,900.222
136,0.0178193,898.845
137,0.0176836,904.913
138,0.0184846,865.977
139,0.018215,879.501
140,0.0178473,897.023
141,0.0183458,872.595
142,0.0183373,873.446
143,0.0183824,871.3
144,0.0188043,851.447
145,0.0188051,850.988
146,0.0186108,859.81
147,0.0187486,853.766
148,0.0186311,858.801
149,0.0184171,868.844
150,0.0183581,872.941
151,0.0180568,886.193
152,0.0180288,887.634
153,0.0183003,874.498
154,0.0180812,885.112
155,0.018086,884.683
156,0.0181116,883.75
157,0.0179713,890.703
158,0.0180281,887.646
159,0.0178752,895.137
160,0.0179265,892.544
161,0.0175993,909.277
162,0.0176584,906.144
163,0.0179071,893.641
164,0.0175938,909.539
165,0.0173218,923.753
166,0.0175998,909.244
167,0.0174169,918.657
168,0.0174166,918.947
169,0.0174049,919.728
170,0.0176993,904.434
171,0.017801,899.236
172,0.0175702,910.857
173,0.0174304,918.547
174,0.0175695,911.62
175,0.0182827,875.213
176,0.0178171,899.156
177,0.017404,919.759
178,0.0179103,894.186
179,0.017681,905.961
180,0.0182371,877.477
181,0.0181797,880.253
182,0.0181171,883.197
183,0.0180292,887.469
184,0.0182139,878.606
185,0.0177519,902.138
186,0.0178448,896.94
187,0.0179141,894.106
188,0.0178233,897.956
189,0.0179971,889.213
190,0.0179229,893.024
191,0.0176549,907.435
192,0.0176918,904.879
193,0.017889,894.512
194,0.0178077,898.894
195,0.0176503,906.542
196,0.0177975,899.082
197,0.0180736,885.446
198,0.0179342,892.232
199,0.0181501,882.134
200,0.0179275,892.975
201,0.0179308,892.741
202,0.0180109,888.815
203,0.0183404,872.95
204,0.0178902,894.942
205,0.0180938,885.39
206,0.018153,881.495
207,0.0179241,893.759
208,0.0178489,896.843
209,0.0181469,882.012
210,0.0180743,885.564
211,0.0177451,902.513
212,0.018131,882.764
213,0.0180515,886.405
214,0.0179517,891.484
215,0.0179533,891.524
216,0.0180963,884.537
217,0.0178649,895.717
218,0.0178345,898.424
219,0.0179044,893.958
220,0.0178393,897.97
221,0.0176517,908.02
222,0.0179451,891.653
223,0.0179498,892.248
224,0.017398,920.541
225,0.0174741,916.042
226,0.0177034,904.007
227,0.0174157,918.732
228,0.0174436,917.586
229,0.0173821,921.558
230,0.0174732,916.466
231,0.0171188,936.263
232,0.0172259,928.998
233,0.0169153,946.177
234,0.0172527,927.975
235,0.0175303,912.992
236,0.0173418,923.173
237,0.0171558,934.805
238,0.0173426,923.867
239,0.0171747,932.24
240,0.017066,937.816
241,0.0169293,946.553
242,0.0172249,929.047
243,0.0173167,924.052
244,0.0168823,947.989
245,0.0174609,917.04
246,0.0173609,921.935
247,0.0172477,927.873
248,0.0178028,899.601
249,0.0171854,931.543
250,0.0174689,916.343
251,0.0172322,928.944
252,0.0172518,928.054
253,0.0171762,932.112
254,0.0170014,941.376
255,0.0171555,933.496
256,0.017021,940.488
