threads,duration,bandwidth
1,0.932372,17.1605
2,0.466331,34.3104
3,0.311022,51.4434
4,0.233406,68.5501
5,0.186943,85.5875
6,0.161029,99.7345
7,0.133696,119.674
8,0.117143,136.585
9,0.110867,146.078
10,0.100963,160.821
11,0.0859265,186.22
12,0.0844517,192.062
13,0.0810791,200.352
14,0.0964175,177.64
15,0.0731375,223.242
16,0.0738825,220.345
17,0.0758481,213.686
18,0.060689,268.746
19,0.0943659,193.907
20,0.097956,170.91
21,0.0742507,223.198
22,0.0850184,231.076
23,0.0679079,240.265
24,0.105252,179.676
25,0.0698616,254.083
26,0.0653143,250.892
27,0.0679369,248.45
28,0.0755422,217.351
29,0.0721877,225.186
30,0.0870645,190.434
31,0.0611479,273.205
32,0.0665574,245.464
33,0.0812254,202.773
34,0.0842487,193.198
35,0.0833784,196.948
36,0.0743922,218.976
37,0.0666593,246.367
38,0.0701698,235.455
39,0.0614231,262.084
40,0.0620473,265.315
41,0.060775,270.733
42,0.0670909,244.393
43,0.0708297,238.062
44,0.0721259,230.949
45,0.0589724,274.238
46,0.0572228,283.919
47,0.062923,267.081
48,0.0647643,250.443
49,0.0583716,280.365
50,0.0690759,242.297
51,0.0689263,245.361
52,0.0609525,276.609
53,0.0566559,290.962
54,0.0604786,271.447
55,0.062212,265.673
56,0.0623697,264.271
57,0.0602459,277.389
58,0.0502678,322.615
59,0.0505488,322.982
60,0.052054,315.626
61,0.051404,321.294
62,0.050345,324.988
63,0.0578027,295.173
64,0.0492627,328.133
65,0.0561633,290.9
66,0.0543668,306.979
67,0.0582978,279.783
68,0.0517518,311.955
69,0.0499979,330.308
70,0.0546949,297.431
71,0.056436,287.915
72,0.0508073,327.697
73,0.04959,331.461
74,0.0468329,348.866
75,0.0520559,319.666
76,0.0468585,347.308
77,0.0512088,323.063
78,0.0498517,327.634
79,0.0468715,347.249
80,0.0487218,339.474
81,0.0541074,303.152
82,0.0427883,379.728
83,0.0510389,321.322
84,0.0483175,334.068
85,0.0460024,354.087
86,0.0522049,308.742
87,0.046265,356.141
88,0.0454449,353.555
89,0.0455379,353.329
90,0.0478275,336.957
91,0.0462643,348.155
92,0.0442974,366.33
93,0.0451898,356.925
94,0.0457412,355.306
95,0.0458536,350.33
96,0.0483905,333.334
97,0.0466357,347.472
98,0.0497025,323.431
99,0.0467716,350.477
100,0.0439588,371.257
101,0.0450911,356.448
102,0.0476746,336.927
103,0.0468505,343.238
104,0.0440378,365.822
105,0.0433537,372.742
106,0.0453733,356.005
107,0.0454351,356.078
108,0.0464722,347.931
109,0.0479923,338.406
110,0.0428697,377.078
111,0.043193,372.737
112,0.042926,372.988
113,0.0458557,354.38
114,0.0463301,347.635
115,0.0465462,343.835
116,0.0435773,369.558
117,0.045465,353.397
118,0.046317,347.627
119,0.0421771,380.415
120,0.0430896,374.047
121,0.0423017,380.528
122,0.0455175,354.996
123,0.045109,355.902
124,0.0445823,361.155
125,0.0433017,370.568
126,0.0448106,359.225
127,0.0437277,368.349
128,0.0432813,371.136
129,0.0454169,353.034
130,0.0438432,365.38
131,0.0429947,372.446
132,0.0427698,375.41
133,0.0424492,377.254
134,0.0437083,367.751
135,0.0413613,387.04
136,0.0420636,380.937
137,0.0442081,364.484
138,0.0402041,398.808
139,0.0434352,368.717
140,0.0404506,396.777
141,0.0392137,409.142
142,0.0408865,391.626
143,0.041669,385.018
144,0.0391009,409.559
145,0.0414526,387.475
146,0.040765,393.828
147,0.039839,402.347
148,0.0420027,381.798
149,0.0386309,414.759
150,0.0388312,412.534
151,0.042238,380.429
152,0.0419605,382.079
153,0.0406096,395.712
154,0.0409316,391.708
155,0.0416845,384.483
156,0.040161,398.527
157,0.0411666,389.657
158,0.0400448,401.24
159,0.0397218,403.573
160,0.0387967,413.162
161,0.0394889,405.639
162,0.0418432,382.596
163,0.0404932,395.625
164,0.0395859,404.534
165,0.0400433,399.854
166,0.0395834,404.35
167,0.0404632,396.436
168,0.0397892,402.824
169,0.0402062,398.699
170,0.0387055,413.54
171,0.0392305,408.121
172,0.0389352,411.046
173,0.0390693,410.045
174,0.0384533,416.236
175,0.0405215,395.4
176,0.0382666,418.284
177,0.0395082,405.317
178,0.0411066,389.492
179,0.0378794,423.536
180,0.040539,395.251
181,0.0398147,403.053
182,0.0399464,401.082
183,0.0395966,405.148
184,0.0386572,414.129
185,0.0389982,411.404
186,0.0391673,408.771
187,0.0399229,400.935
188,0.0379498,421.629
189,0.0391141,409.174
190,0.040566,395.383
191,0.0393643,407.783
192,0.0408198,393.428
193,0.0394682,405.891
194,0.0382319,418.655
195,0.03982,402.34
196,0.0388504,412.244
197,0.0387733,413.045
198,0.0393074,407.933
199,0.0387987,412.754
200,0.0394847,405.37
201,0.0390195,410.755
202,0.0391149,409.633
203,0.039481,405.95
204,0.0389817,410.717
205,0.0394649,405.686
206,0.0376178,425.646
207,0.0379045,422.56
208,0.039118,409.094
209,0.038788,413.011
210,0.0384436,416.595
211,0.0386082,415.205
212,0.0377485,423.957
213,0.0375896,425.888
214,0.0384567,416.174
215,0.0384404,416.255
216,0.0382088,419.003
217,0.03908,409.625
218,0.0393125,407.181
219,0.0380693,420.5
220,0.0388394,413.172
221,0.038976,410.711
222,0.039512,405.24
223,0.0401045,399.205
224,0.0391251,409.12
225,0.0386502,414.327
226,0.0382708,418.548
227,0.0384012,416.817
228,0.0385131,415.781
229,0.0392519,408.019
230,0.0381748,419.549
231,0.0381957,419.178
232,0.0391215,409.219
233,0.0385623,415.534
234,0.03852,415.444
235,0.0384669,416.254
236,0.0381183,419.996
237,0.038713,413.314
238,0.0384535,416.204
239,0.0383973,416.9
240,0.0384873,416.025
241,0.0385052,415.836
242,0.0384979,415.73
243,0.0382734,418.35
244,0.038859,411.893
245,0.0402756,398.481
246,0.0389728,410.72
247,0.039869,402.63
248,0.0390165,410.17
249,0.0383797,416.9
250,0.0376269,425.261
251,0.0383424,417.472
252,0.0389066,411.346
253,0.0384017,417.129
254,0.039562,405.484
255,0.0377788,423.642
256,0.0398032,403.225
