threads,duration,bandwidth
1,0.524873,30.4836
2,0.262676,60.9115
3,0.177478,90.1521
4,0.133337,120.01
5,0.10809,148.041
6,0.0927924,172.616
7,0.0869933,185.179
8,0.0751027,213.7
9,0.0827669,199.504
10,0.0856765,190.547
11,0.0784618,205.919
12,0.0821542,197.285
13,0.0837446,192.533
14,0.0765459,212.729
15,0.0795521,215.552
16,0.0723138,230.179
17,0.0833466,207.147
18,0.0941744,180.349
19,0.0827683,200.109
20,0.0768211,217.104
21,0.0766587,211.485
22,0.0674341,242.873
23,0.068171,241.164
24,0.0900543,190.672
25,0.0945562,182.037
26,0.0692665,237.757
27,0.0791025,207.649
28,0.0672265,238.763
29,0.0769178,222.293
30,0.0849657,201.349
31,0.0796765,207.504
32,0.0839836,207.633
33,0.0680346,238.73
34,0.0724342,222.12
35,0.0688041,235.947
36,0.0776246,209.664
37,0.0706638,227.891
38,0.0717019,226.995
39,0.0644111,249.227
40,0.0700572,232.367
41,0.0709999,229.872
42,0.0624722,259.318
43,0.0823133,206.672
44,0.0662538,242.389
45,0.0725078,226.631
46,0.0669613,245.354
47,0.06936,236.123
48,0.0630236,256.255
49,0.062008,260.785
50,0.0612384,263.716
51,0.0596176,269.417
52,0.0683501,241.587
53,0.0628427,256.561
54,0.0626674,259.646
55,0.0599099,267.567
56,0.0634852,256.521
57,0.0577928,280.992
58,0.0650222,254.764
59,0.060138,268.669
60,0.0595147,271.425
61,0.0573046,287.33
62,0.054912,292.709
63,0.0546957,294.462
64,0.0551632,293.251
65,0.0577624,277.839
66,0.0556436,290.066
67,0.0568658,284.357
68,0.0563953,287.046
69,0.0541285,297.107
70,0.0583064,282.682
71,0.0563105,290.659
72,0.0552149,290.714
73,0.058222,279.812
74,0.0535277,303.662
75,0.0535766,301.884
76,0.0525595,305.535
77,0.0531057,302.642
78,0.0555929,288.574
79,0.0560289,291.053
80,0.048696,329.242
81,0.0530717,304.292
82,0.0571498,280.57
83,0.0557377,291.848
84,0.0544721,296.26
85,0.0559107,290.27
